datetime,DE_DA_price,aFRR_capacity_down_price,aFRR_energy_down_price,aFRR_energy_down_quantity,coal_price,natural_gas_price,biomass_price,co2_price,hydrogen_price,iron_ore_price,lime_price,P100000120423_bf_bof_hybrid_hydrogen_natural_gas_electrolyser_steel_demand,P100000120426_bf_bof_hybrid_hydrogen_natural_gas_electrolyser_steel_demand,P100000120428_bf_bof_hybrid_hydrogen_natural_gas_electrolyser_steel_demand,P100000120425_bf_bof_hybrid_hydrogen_natural_gas_electrolyser_steel_demand,P100000120427_bf_bof_hybrid_hydrogen_natural_gas_electrolyser_steel_demand,P100000120422_bf_bof_hybrid_hydrogen_natural_gas_electrolyser_steel_demand,P100000120432_bf_bof_hybrid_hydrogen_natural_gas_electrolyser_steel_demand,P100000120424_bf_bof_hybrid_hydrogen_natural_gas_electrolyser_steel_demand,P100000120421_bf_bof_hybrid_hydrogen_natural_gas_electrolyser_steel_demand
2030-01-01 00:00:00,0.0,30.904,0.0,0.0,54.200936240822045,52.70125752634393,63.17845261624512,142.742838456398,79.13596239772706,225.0,100.0,36.66377872526925,99.7872818593815,32.18944576109075,57.9410023699635,25.7515566088725,118.54164713260624,70.2695600863005,146.765848830846,254.017815284155
2030-01-01 00:15:00,0.0,30.904,0.0,0.0,54.200936240822045,52.70125752634393,63.17845261624512,142.742838456398,79.13596239772706,225.0,100.0,36.66377872526925,99.7872818593815,32.18944576109075,57.9410023699635,25.7515566088725,118.54164713260624,70.2695600863005,146.765848830846,254.017815284155
2030-01-01 00:30:00,0.0,30.904,0.0,0.0,54.200936240822045,52.70125752634393,63.17845261624512,142.742838456398,79.13596239772706,225.0,100.0,36.66377872526925,99.7872818593815,32.18944576109075,57.9410023699635,25.7515566088725,118.54164713260624,70.2695600863005,146.765848830846,254.017815284155
2030-01-01 00:45:00,0.0,30.904,0.0,0.0,54.200936240822045,52.70125752634393,63.17845261624512,142.742838456398,79.13596239772706,225.0,100.0,36.66377872526925,99.7872818593815,32.18944576109075,57.9410023699635,25.7515566088725,118.54164713260624,70.2695600863005,146.765848830846,254.017815284155
2030-01-01 01:00:00,0.0,30.904,0.0,0.0,54.200936240822045,52.70125752634393,63.17845261624512,142.742838456398,79.13596239772706,225.0,100.0,36.66377872526925,99.7872818593815,32.18944576109075,57.9410023699635,25.7515566088725,118.54164713260624,70.2695600863005,146.765848830846,254.017815284155
2030-01-01 01:15:00,0.0,30.904,0.0,0.0,54.200936240822045,52.70125752634393,63.17845261624512,142.742838456398,79.13596239772706,225.0,100.0,36.66377872526925,99.7872818593815,32.18944576109075,57.9410023699635,25.7515566088725,118.54164713260624,70.2695600863005,146.765848830846,254.017815284155
2030-01-01 01:30:00,0.0,30.904,0.0,0.0,54.200936240822045,52.70125752634393,63.17845261624512,142.742838456398,79.13596239772706,225.0,100.0,36.66377872526925,99.7872818593815,32.18944576109075,57.9410023699635,25.7515566088725,118.54164713260624,70.2695600863005,146.765848830846,254.017815284155
2030-01-01 01:45:00,0.0,30.904,0.0,0.0,54.200936240822045,52.70125752634393,63.17845261624512,142.742838456398,79.13596239772706,225.0,100.0,36.66377872526925,99.7872818593815,32.18944576109075,57.9410023699635,25.7515566088725,118.54164713260624,70.2695600863005,146.765848830846,254.017815284155
2030-01-01 02:00:00,0.0,30.904,0.0,3.453,54.200936240822045,52.70125752634393,63.17845261624512,142.742838456398,79.13596239772706,225.0,100.0,36.66377872526925,99.7872818593815,32.18944576109075,57.9410023699635,25.7515566088725,118.54164713260624,70.2695600863005,146.765848830846,254.017815284155
2030-01-01 02:15:00,0.0,30.904,0.0,3.453,54.200936240822045,52.70125752634393,63.17845261624512,142.742838456398,79.13596239772706,225.0,100.0,36.66377872526925,99.7872818593815,32.18944576109075,57.9410023699635,25.7515566088725,118.54164713260624,70.2695600863005,146.765848830846,254.017815284155
