datetime,DE_DA_price,aFRR_capacity_down_price,aFRR_energy_down_price,aFRR_energy_down_quantity,coal_price,natural_gas_price,biomass_price,co2_price,hydrogen_price,iron_ore_price,lime_price,P100000120423_dri_eaf_natural_gas_external_steel_demand,P100000120426_dri_eaf_natural_gas_external_steel_demand,P100000120428_dri_eaf_natural_gas_external_steel_demand,P100000120425_dri_eaf_natural_gas_external_steel_demand,P100000120427_dri_eaf_natural_gas_external_steel_demand,P100000120422_dri_eaf_natural_gas_external_steel_demand,P100000120432_dri_eaf_natural_gas_external_steel_demand,P100000120424_dri_eaf_natural_gas_external_steel_demand,P100000120421_dri_eaf_natural_gas_external_steel_demand
2030-01-02 00:00:00,0.0,21.399,0.0,460.0,65.9082111477148,59.88430926661884,67.48504767787699,177.5742683278162,88.7419558163904,225.0,100.0,36.66377872526925,99.7872818593815,32.18944576109075,57.9410023699635,25.7515566088725,118.54164713260624,70.2695600863005,146.765848830846,254.017815284155
2030-01-02 00:15:00,0.0,21.399,0.0,460.0,65.9082111477148,59.88430926661884,67.48504767787699,177.5742683278162,88.7419558163904,225.0,100.0,36.66377872526925,99.7872818593815,32.18944576109075,57.9410023699635,25.7515566088725,118.54164713260624,70.2695600863005,146.765848830846,254.017815284155
2030-01-02 00:30:00,0.0,21.399,0.0,460.0,65.9082111477148,59.88430926661884,67.48504767787699,177.5742683278162,88.7419558163904,225.0,100.0,36.66377872526925,99.7872818593815,32.18944576109075,57.9410023699635,25.7515566088725,118.54164713260624,70.2695600863005,146.765848830846,254.017815284155
2030-01-02 00:45:00,0.0,21.399,0.0,460.0,65.9082111477148,59.88430926661884,67.48504767787699,177.5742683278162,88.7419558163904,225.0,100.0,36.66377872526925,99.7872818593815,32.18944576109075,57.9410023699635,25.7515566088725,118.54164713260624,70.2695600863005,146.765848830846,254.017815284155
2030-01-02 01:00:00,0.0,21.399,0.0,334.46,65.9082111477148,59.88430926661884,67.48504767787699,177.5742683278162,88.7419558163904,225.0,100.0,36.66377872526925,99.7872818593815,32.18944576109075,57.9410023699635,25.7515566088725,118.54164713260624,70.2695600863005,146.765848830846,254.017815284155
2030-01-02 01:15:00,0.0,21.399,0.0,334.46,65.9082111477148,59.88430926661884,67.48504767787699,177.5742683278162,88.7419558163904,225.0,100.0,36.66377872526925,99.7872818593815,32.18944576109075,57.9410023699635,25.7515566088725,118.54164713260624,70.2695600863005,146.765848830846,254.017815284155
2030-01-02 01:30:00,0.0,21.399,0.0,334.46,65.9082111477148,59.88430926661884,67.48504767787699,177.5742683278162,88.7419558163904,225.0,100.0,36.66377872526925,99.7872818593815,32.18944576109075,57.9410023699635,25.7515566088725,118.54164713260624,70.2695600863005,146.765848830846,254.017815284155
2030-01-02 01:45:00,0.0,21.399,0.0,334.46,65.9082111477148,59.88430926661884,67.48504767787699,177.5742683278162,88.7419558163904,225.0,100.0,36.66377872526925,99.7872818593815,32.18944576109075,57.9410023699635,25.7515566088725,118.54164713260624,70.2695600863005,146.765848830846,254.017815284155
2030-01-02 02:00:00,0.0,21.399,0.0,160.65,65.9082111477148,59.88430926661884,67.48504767787699,177.5742683278162,88.7419558163904,225.0,100.0,36.66377872526925,99.7872818593815,32.18944576109075,57.9410023699635,25.7515566088725,118.54164713260624,70.2695600863005,146.765848830846,254.017815284155
2030-01-02 02:15:00,0.0,21.399,0.0,160.65,65.9082111477148,59.88430926661884,67.48504767787699,177.5742683278162,88.7419558163904,225.0,100.0,36.66377872526925,99.7872818593815,32.18944576109075,57.9410023699635,25.7515566088725,118.54164713260624,70.2695600863005,146.765848830846,254.017815284155
