name,unit_type,technology,node,objective,steel_demand,fuel_type,max_power,min_power,ramp_up,ramp_down,min_operating_time,min_down_time,efficiency,lime_co2_factor,specific_dri_demand,specific_electricity_consumption,specific_natural_gas_consumption,specific_hydrogen_consumption,specific_iron_ore_consumption,specific_lime_demand,start_price,max_capacity,min_capacity,initial_soc,storage_loss_rate,efficiency_charge,efficiency_discharge,max_operating_hours,specific_coal_consumption,coal_co2_factor,natural_gas_co2_factor
P100000120427_dri_eaf_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,eaf,Hamburg,,,,45.151451,0,45.151451,45.151451,0,0,,0.1,1,0.44,,,,0.05,5,,,,,,,,,,
P100000120427_dri_eaf_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,electrolyser,Hamburg,,,,329.840148,0,329.840148,329.840148,1,1,0.7,,,,,,,,,,,,,,,,,,
P100000120422_dri_eaf_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,dri_plant,North Rhine-Westphalia,min_variable_cost,,hybrid_hydrogen_natural_gas,44.314498,0,44.314498,44.314498,0,0,,,,0.09,2.44,2.25,1.4,,5,,,,,,,,,,0.2
P100000120422_dri_eaf_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,eaf,North Rhine-Westphalia,,,,216.648657,0,216.648657,216.648657,0,0,,0.1,1,0.44,,,,0.05,5,,,,,,,,,,
P100000120422_dri_eaf_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,electrolyser,North Rhine-Westphalia,,,,1582.660647,0,1582.660647,1582.660647,1,1,0.7,,,,,,,,,,,,,,,,,,
P100000120432_dri_eaf_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,dri_plant,Saarland,min_variable_cost,,hybrid_hydrogen_natural_gas,25.201436,0,25.201436,25.201436,0,0,,,,0.09,2.44,2.25,1.4,,5,,,,,,,,,,0.2
P100000120432_dri_eaf_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,eaf,Saarland,,,,123.207023,0,123.207023,123.207023,0,0,,0.1,1,0.44,,,,0.05,5,,,,,,,,,,
P100000120432_dri_eaf_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,electrolyser,Saarland,,,,900.051303,0,900.051303,900.051303,1,1,0.7,,,,,,,,,,,,,,,,,,
P100000120424_dri_eaf_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,dri_plant,Lower Saxony,min_variable_cost,,hybrid_hydrogen_natural_gas,54.258704,0,54.258704,54.258704,0,0,,,,0.09,2.44,2.25,1.4,,5,,,,,,,,,,0.2
P100000120424_dri_eaf_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,eaf,Lower Saxony,,,,265.264777,0,265.264777,265.264777,0,0,,0.1,1,0.44,,,,0.05,5,,,,,,,,,,
P100000120424_dri_eaf_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,electrolyser,Lower Saxony,,,,1937.810869,0,1937.810869,1937.810869,1,1,0.7,,,,,,,,,,,,,,,,,,
P100000120421_dri_eaf_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,dri_plant,North Rhine-Westphalia,min_variable_cost,,hybrid_hydrogen_natural_gas,94.664122,0,94.664122,94.664122,0,0,,,,0.09,2.44,2.25,1.4,,5,,,,,,,,,,0.2
P100000120421_dri_eaf_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,eaf,North Rhine-Westphalia,,,,462.802376,0,462.802376,462.802376,0,0,,0.1,1,0.44,,,,0.05,5,,,,,,,,,,
P100000120421_dri_eaf_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,electrolyser,North Rhine-Westphalia,,,,3380.861516,0,3380.861516,3380.861516,1,1,0.7,,,,,,,,,,,,,,,,,,
