datetime,DE_DA_price,aFRR_capacity_down_price,aFRR_energy_down_price,aFRR_energy_down_quantity,coal_price,natural_gas_price,biomass_price,co2_price,hydrogen_price,iron_ore_price,lime_price,P100000120423_dri_eaf_hybrid_hydrogen_natural_gas_electrolyser_steel_demand,P100000120426_dri_eaf_hybrid_hydrogen_natural_gas_electrolyser_steel_demand,P100000120428_dri_eaf_hybrid_hydrogen_natural_gas_electrolyser_steel_demand,P100000120425_dri_eaf_hybrid_hydrogen_natural_gas_electrolyser_steel_demand,P100000120427_dri_eaf_hybrid_hydrogen_natural_gas_electrolyser_steel_demand,P100000120422_dri_eaf_hybrid_hydrogen_natural_gas_electrolyser_steel_demand,P100000120432_dri_eaf_hybrid_hydrogen_natural_gas_electrolyser_steel_demand,P100000120424_dri_eaf_hybrid_hydrogen_natural_gas_electrolyser_steel_demand,P100000120421_dri_eaf_hybrid_hydrogen_natural_gas_electrolyser_steel_demand
2045-01-01 00:00:00,0.0,28.115,0.0,0.0,120.82895097941076,94.02126658031136,49.85177053699328,340.515796515782,101.11358193661084,225.0,100.0,29.20723302809925,79.492908173311,25.6428736042035,46.157172481405,20.514298882802724,102.57149442801675,55.97839306451375,120.52150595011925,210.27156356063074
2045-01-01 00:15:00,0.0,28.115,0.0,0.0,120.82895097941076,94.02126658031136,49.85177053699328,340.515796515782,101.11358193661084,225.0,100.0,29.20723302809925,79.492908173311,25.6428736042035,46.157172481405,20.514298882802724,102.57149442801675,55.97839306451375,120.52150595011925,210.27156356063074
2045-01-01 00:30:00,0.0,28.115,0.0,0.0,120.82895097941076,94.02126658031136,49.85177053699328,340.515796515782,101.11358193661084,225.0,100.0,29.20723302809925,79.492908173311,25.6428736042035,46.157172481405,20.514298882802724,102.57149442801675,55.97839306451375,120.52150595011925,210.27156356063074
2045-01-01 00:45:00,0.0,28.115,0.0,0.0,120.82895097941076,94.02126658031136,49.85177053699328,340.515796515782,101.11358193661084,225.0,100.0,29.20723302809925,79.492908173311,25.6428736042035,46.157172481405,20.514298882802724,102.57149442801675,55.97839306451375,120.52150595011925,210.27156356063074
2045-01-01 01:00:00,0.0,28.115,0.0,0.0,120.82895097941076,94.02126658031136,49.85177053699328,340.515796515782,101.11358193661084,225.0,100.0,29.20723302809925,79.492908173311,25.6428736042035,46.157172481405,20.514298882802724,102.57149442801675,55.97839306451375,120.52150595011925,210.27156356063074
2045-01-01 01:15:00,0.0,28.115,0.0,0.0,120.82895097941076,94.02126658031136,49.85177053699328,340.515796515782,101.11358193661084,225.0,100.0,29.20723302809925,79.492908173311,25.6428736042035,46.157172481405,20.514298882802724,102.57149442801675,55.97839306451375,120.52150595011925,210.27156356063074
2045-01-01 01:30:00,0.0,28.115,0.0,0.0,120.82895097941076,94.02126658031136,49.85177053699328,340.515796515782,101.11358193661084,225.0,100.0,29.20723302809925,79.492908173311,25.6428736042035,46.157172481405,20.514298882802724,102.57149442801675,55.97839306451375,120.52150595011925,210.27156356063074
2045-01-01 01:45:00,0.0,28.115,0.0,0.0,120.82895097941076,94.02126658031136,49.85177053699328,340.515796515782,101.11358193661084,225.0,100.0,29.20723302809925,79.492908173311,25.6428736042035,46.157172481405,20.514298882802724,102.57149442801675,55.97839306451375,120.52150595011925,210.27156356063074
2045-01-01 02:00:00,0.0,28.115,0.0,3.453,120.82895097941076,94.02126658031136,49.85177053699328,340.515796515782,101.11358193661084,225.0,100.0,29.20723302809925,79.492908173311,25.6428736042035,46.157172481405,20.514298882802724,102.57149442801675,55.97839306451375,120.52150595011925,210.27156356063074
2045-01-01 02:15:00,0.0,28.115,0.0,3.453,120.82895097941076,94.02126658031136,49.85177053699328,340.515796515782,101.11358193661084,225.0,100.0,29.20723302809925,79.492908173311,25.6428736042035,46.157172481405,20.514298882802724,102.57149442801675,55.97839306451375,120.52150595011925,210.27156356063074
2045-01-01 02:30:00,0.0,28.115,0.0,3.453,120.82895097941076,94.02126658031136,49.85177053699328,340.515796515782,101.11358193661084,225.0,100.0,29.20723302809925,79.492908173311,25.6428736042035,46.157172481405,20.514298882802724,102.57149442801675,55.97839306451375,120.52150595011925,210.27156356063074
2045-01-01 02:45:00,0.0,28.115,0.0,3.453,120.82895097941076,94.02126658031136,49.85177053699328,340.515796515782,101.11358193661084,225.0,100.0,29.20723302809925,79.492908173311,25.6428736042035,46.157172481405,20.514298882802724,102.57149442801675,55.97839306451375,120.52150595011925,210.27156356063074
2045-01-01 03:00:00,0.0,28.115,0.0,18.417,120.82895097941076,94.02126659928994,49.847330898541,340.515796515782,101.1501130084956,225.0,100.0,29.20723302809925,79.492908173311,25.6428736042035,46.157172481405,20.514298882802724,102.57149442801675,55.97839306451375,120.52150595011925,210.27156356063074
