datetime,plant_name,day_ahead_position_MWh_el,day_ahead_price_EUR_per_MWh_el,additional_electricity_charge_EUR_per_MWh_el,day_ahead_delivered_price_EUR_per_MWh_el,intraday_buy_MWh_el,intraday_sell_MWh_el,intraday_price_EUR_per_MWh_el,intraday_delivered_price_EUR_per_MWh_el,scheduled_electricity_procurement_MWh_el,afrr_energy_bid_MW_el,afrr_energy_bid_MWh_el,afrr_energy_activated_MWh_el,afrr_energy_price_EUR_per_MWh_el,afrr_energy_delivered_price_EUR_per_MWh_el,afrr_energy_bid_price_EUR_per_MWh_el,afrr_energy_market_spread_EUR_per_MWh_el,afrr_energy_net_spread_EUR_per_MWh_el,afrr_energy_pay_as_cleared_reward_EUR,afrr_energy_net_value_after_charges_EUR,afrr_energy_capacity_backed_bid_MWh_el,afrr_energy_free_bid_MWh_el,afrr_energy_capacity_backed_activated_MWh_el,afrr_energy_free_activated_MWh_el,afrr_system_activation_MWh_el,afrr_headroom_binding,afrr_curtailment_MWh,afrr_capacity_block_id,afrr_capacity_block_duration_h,afrr_capacity_pricing_rule,afrr_capacity_bid_price_EUR_per_MW_h,afrr_capacity_clearing_price_EUR_per_MW_h,afrr_capacity_settlement_price_EUR_per_MW_h,afrr_capacity_down_price_EUR_per_MW_h,afrr_capacity_reserved_MW,afrr_capacity_reserved_MWh,afrr_capacity_revenue_EUR,afrr_capacity_opportunity_cost_EUR,afrr_capacity_market_surplus_EUR,afrr_capacity_net_value_EUR,reserved_capacity_headroom_MWh,available_charge_headroom_after_schedule_MWh,available_storage_headroom_after_schedule_MWh,actual_electricity_consumption_MWh_el,gas_heat_output_MWh_th,etes_charge_MWh_el,etes_discharge_MWh_th,etes_thermal_inventory_MWh_th
2025-05-10 00:00:00+02:00,plant_1,0.0,105.22,32.93,138.15,0.0,0.0,100.46,133.39,0.0,0.0,0.0,0.0,56.15,89.08,83.54096470588236,27.39096470588236,-5.539035294117639,0.0,0.0,0.0,0.0,0.0,0.0,2.086,0.0,0.0,2025-05-10_00:00_04:00,4.0,pay_as_bid,2.07,2.07,2.07,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,51.02040816326531,0.0,2.0875,0.0,0.0,0.0
2025-05-10 00:15:00+02:00,plant_1,0.0,105.22,32.93,138.15,0.0,0.0,95.75,128.68,0.0,0.0,0.0,0.0,0.0,32.93,83.54096470588236,83.54096470588236,50.61096470588236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-05-10_00:00_04:00,4.0,pay_as_bid,2.07,2.07,2.07,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,51.02040816326531,0.0,2.0875,0.0,0.0,0.0
2025-05-10 00:30:00+02:00,plant_1,0.0,105.22,32.93,138.15,0.0,0.0,101.88,134.81,0.0,0.0,0.0,0.0,76.25,109.18,83.54096470588236,7.2909647058823595,-25.639035294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,2025-05-10_00:00_04:00,4.0,pay_as_bid,2.07,2.07,2.07,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,51.02040816326531,0.0,2.0875,0.0,0.0,0.0
2025-05-10 00:45:00+02:00,plant_1,0.0,105.22,32.93,138.15,0.0,0.0,108.86,141.79,0.0,0.0,0.0,0.0,78.71,111.63999999999999,83.54096470588236,4.830964705882366,-28.099035294117627,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,2025-05-10_00:00_04:00,4.0,pay_as_bid,2.07,2.07,2.07,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,51.02040816326531,0.0,2.0875,0.0,0.0,0.0
2025-05-10 01:00:00+02:00,plant_1,0.0,102.91,32.93,135.84,0.0,0.0,97.6,130.53,0.0,0.0,0.0,0.0,0.0,32.93,83.54096470588236,83.54096470588236,50.61096470588236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-05-10_00:00_04:00,4.0,pay_as_bid,2.07,2.07,2.07,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,51.02040816326531,0.0,2.0125,0.0,0.0,0.0
2025-05-10 01:15:00+02:00,plant_1,0.0,102.91,32.93,135.84,0.0,0.0,98.0,130.93,0.0,0.0,0.0,0.0,0.0,32.93,83.54096470588236,83.54096470588236,50.61096470588236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-05-10_00:00_04:00,4.0,pay_as_bid,2.07,2.07,2.07,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,51.02040816326531,0.0,2.0125,0.0,0.0,0.0
2025-05-10 01:30:00+02:00,plant_1,0.0,102.91,32.93,135.84,0.0,0.0,104.96,137.89,0.0,0.0,0.0,0.0,77.04,109.97,83.54096470588236,6.500964705882353,-26.42903529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,2025-05-10_00:00_04:00,4.0,pay_as_bid,2.07,2.07,2.07,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,51.02040816326531,0.0,2.0125,0.0,0.0,0.0
2025-05-10 01:45:00+02:00,plant_1,0.0,102.91,32.93,135.84,0.0,0.0,108.32,141.25,0.0,0.0,0.0,0.0,82.1,115.03,83.54096470588236,1.4409647058823651,-31.48903529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-05-10_00:00_04:00,4.0,pay_as_bid,2.07,2.07,2.07,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,51.02040816326531,0.0,2.0125,0.0,0.0,0.0
2025-05-10 02:00:00+02:00,plant_1,0.0,98.78,32.93,131.71,0.0,0.0,114.95,147.88,0.0,0.0,0.0,0.0,80.02,112.94999999999999,83.54096470588236,3.5209647058823634,-29.40903529411763,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,2025-05-10_00:00_04:00,4.0,pay_as_bid,2.07,2.07,2.07,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,51.02040816326531,0.0,2.0125,0.0,0.0,0.0
2025-05-10 02:15:00+02:00,plant_1,0.0,98.78,32.93,131.71,0.0,0.0,124.14,157.07,0.0,0.0,0.0,0.0,83.09,116.02000000000001,83.54096470588236,0.45096470588235604,-32.47903529411765,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,2025-05-10_00:00_04:00,4.0,pay_as_bid,2.07,2.07,2.07,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,51.02040816326531,0.0,2.0125,0.0,0.0,0.0
2025-05-10 02:30:00+02:00,plant_1,0.0,98.78,32.93,131.71,0.0,0.0,126.06,158.99,0.0,0.0,0.0,0.0,0.0,32.93,83.54096470588236,83.54096470588236,50.61096470588236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-05-10_00:00_04:00,4.0,pay_as_bid,2.07,2.07,2.07,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,51.02040816326531,0.0,2.0125,0.0,0.0,0.0
2025-05-10 02:45:00+02:00,plant_1,0.0,98.78,32.93,131.71,0.0,0.0,136.76,169.69,0.0,0.0,0.0,0.0,0.0,32.93,83.54096470588236,83.54096470588236,50.61096470588236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-05-10_00:00_04:00,4.0,pay_as_bid,2.07,2.07,2.07,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,51.02040816326531,0.0,2.0125,0.0,0.0,0.0
2025-05-10 03:00:00+02:00,plant_1,0.0,96.28,32.93,129.21,0.0,0.0,124.92,157.85,0.0,0.0,0.0,0.0,0.0,32.93,83.54096470588236,83.54096470588236,50.61096470588236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-05-10_00:00_04:00,4.0,pay_as_bid,2.07,2.07,2.07,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,51.02040816326531,0.0,2.0125,0.0,0.0,0.0
2025-05-10 03:15:00+02:00,plant_1,0.0,96.28,32.93,129.21,0.0,0.0,122.83,155.76,0.0,0.0,0.0,0.0,0.0,32.93,83.54096470588236,83.54096470588236,50.61096470588236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-05-10_00:00_04:00,4.0,pay_as_bid,2.07,2.07,2.07,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,51.02040816326531,0.0,2.0125,0.0,0.0,0.0
2025-05-10 03:30:00+02:00,plant_1,0.0,96.28,32.93,129.21,0.0,0.0,122.66,155.59,0.0,0.0,0.0,0.0,0.0,32.93,83.54096470588236,83.54096470588236,50.61096470588236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-05-10_00:00_04:00,4.0,pay_as_bid,2.07,2.07,2.07,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,51.02040816326531,0.0,2.0125,0.0,0.0,0.0
2025-05-10 03:45:00+02:00,plant_1,0.0,96.28,32.93,129.21,0.0,0.0,124.13,157.06,0.0,0.0,0.0,0.0,140.0,172.93,83.54096470588236,-56.45903529411764,-89.38903529411765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-05-10_00:00_04:00,4.0,pay_as_bid,2.07,2.07,2.07,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,51.02040816326531,0.0,2.0125,0.0,0.0,0.0
2025-05-10 04:00:00+02:00,plant_1,0.0,100.9,32.93,133.83,0.0,0.0,132.86,165.79000000000002,0.0,0.0,0.0,0.0,140.0,172.93,83.54096470588236,-56.45903529411764,-89.38903529411765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-05-10_04:00_08:00,4.0,pay_as_bid,2.39,2.39,2.39,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,51.02040816326531,0.0,2.0125,0.0,0.0,0.0
2025-05-10 04:15:00+02:00,plant_1,0.0,100.9,32.93,133.83,0.0,0.0,129.35,162.28,0.0,0.0,0.0,0.0,0.0,32.93,83.54096470588236,83.54096470588236,50.61096470588236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-05-10_04:00_08:00,4.0,pay_as_bid,2.39,2.39,2.39,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,51.02040816326531,0.0,2.0125,0.0,0.0,0.0
2025-05-10 04:30:00+02:00,plant_1,0.0,100.9,32.93,133.83,0.0,0.0,121.22,154.15,0.0,0.0,0.0,0.0,0.0,32.93,83.54096470588236,83.54096470588236,50.61096470588236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-05-10_04:00_08:00,4.0,pay_as_bid,2.39,2.39,2.39,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,51.02040816326531,0.0,2.0125,0.0,0.0,0.0
2025-05-10 04:45:00+02:00,plant_1,0.0,100.9,32.93,133.83,0.0,0.0,102.22,135.15,0.0,0.0,0.0,0.0,0.0,32.93,83.54096470588236,83.54096470588236,50.61096470588236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-05-10_04:00_08:00,4.0,pay_as_bid,2.39,2.39,2.39,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,51.02040816326531,0.0,2.0125,0.0,0.0,0.0
2025-05-10 05:00:00+02:00,plant_1,0.0,100.47,32.93,133.4,0.0,0.0,136.24,169.17000000000002,0.0,0.0,0.0,0.0,0.0,32.93,83.54096470588236,83.54096470588236,50.61096470588236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-05-10_04:00_08:00,4.0,pay_as_bid,2.39,2.39,2.39,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,51.02040816326531,0.0,2.0125,0.0,0.0,0.0
2025-05-10 05:15:00+02:00,plant_1,0.0,100.47,32.93,133.4,0.0,0.0,120.24,153.17,0.0,0.0,0.0,0.0,0.0,32.93,83.54096470588236,83.54096470588236,50.61096470588236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-05-10_04:00_08:00,4.0,pay_as_bid,2.39,2.39,2.39,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,51.02040816326531,0.0,2.0125,0.0,0.0,0.0
2025-05-10 05:30:00+02:00,plant_1,0.0,100.47,32.93,133.4,0.0,0.0,93.9,126.83000000000001,0.0,0.0,0.0,0.0,51.21,84.14,83.54096470588236,32.33096470588236,-0.5990352941176411,0.0,0.0,0.0,0.0,0.0,0.0,1.182,0.0,0.0,2025-05-10_04:00_08:00,4.0,pay_as_bid,2.39,2.39,2.39,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,51.02040816326531,0.0,2.0125,0.0,0.0,0.0
2025-05-10 05:45:00+02:00,plant_1,0.0,100.47,32.93,133.4,0.0,0.0,80.19,113.12,0.0,0.0,0.0,0.0,51.64,84.57,83.54096470588236,31.90096470588236,-1.0290352941176337,0.0,0.0,0.0,0.0,0.0,0.0,10.132,0.0,0.0,2025-05-10_04:00_08:00,4.0,pay_as_bid,2.39,2.39,2.39,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,51.02040816326531,0.0,2.0125,0.0,0.0,0.0
2025-05-10 06:00:00+02:00,plant_1,0.0,97.73,32.93,130.66,0.0,0.0,113.8,146.73,0.0,0.0,0.0,0.0,89.45,122.38,83.54096470588236,-5.909035294117643,-38.839035294117636,0.0,0.0,0.0,0.0,0.0,0.0,0.434,0.0,0.0,2025-05-10_04:00_08:00,4.0,pay_as_bid,2.39,2.39,2.39,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,51.02040816326531,0.0,2.0125,0.0,0.0,0.0
2025-05-10 06:15:00+02:00,plant_1,0.0,97.73,32.93,130.66,0.0,0.0,101.37,134.3,0.0,0.0,0.0,0.0,88.39,121.32,83.54096470588236,-4.849035294117641,-37.779035294117634,0.0,0.0,0.0,0.0,0.0,0.0,0.218,0.0,0.0,2025-05-10_04:00_08:00,4.0,pay_as_bid,2.39,2.39,2.39,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,51.02040816326531,0.0,2.0125,0.0,0.0,0.0
2025-05-10 06:30:00+02:00,plant_1,0.0,97.73,32.93,130.66,0.0,0.0,77.02,109.94999999999999,0.0,0.0,0.0,0.0,85.75,118.68,83.54096470588236,-2.2090352941176405,-35.13903529411765,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,2025-05-10_04:00_08:00,4.0,pay_as_bid,2.39,2.39,2.39,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,51.02040816326531,0.0,2.0125,0.0,0.0,0.0
2025-05-10 06:45:00+02:00,plant_1,0.0,97.73,32.93,130.66,2.5,0.0,50.44,83.37,2.5,0.0,0.0,0.0,79.85,112.78,83.54096470588236,3.690964705882365,-29.23903529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.168,0.0,0.0,2025-05-10_04:00_08:00,4.0,pay_as_bid,2.39,2.39,2.39,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.637492110246164,2.5,0.0,2.5,2.0125,0.37525773195876244
2025-05-10 07:00:00+02:00,plant_1,0.0,93.91,32.93,126.84,0.0,0.0,87.23,120.16,0.0,10.0,2.5,2.5,9.03,41.96,83.54096470588236,74.51096470588236,41.58096470588236,186.2774117647059,103.9524117647059,0.0,2.5,0.0,2.5,5.906,0.0,0.0,2025-05-10_04:00_08:00,4.0,pay_as_bid,2.39,2.39,2.39,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,50.29149063749211,2.5,0.0,2.5,2.0475,0.7143391752577317
2025-05-10 07:15:00+02:00,plant_1,0.0,93.91,32.93,126.84,0.0,0.0,68.94,101.87,0.0,0.0,0.0,0.0,80.62,113.55000000000001,83.54096470588236,2.920964705882355,-30.009035294117652,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,2025-05-10_04:00_08:00,4.0,pay_as_bid,2.39,2.39,2.39,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,51.02040816326531,0.0,1.35476422725,0.0,0.6927357727499998,0.0
2025-05-10 07:30:00+02:00,plant_1,0.0,93.91,32.93,126.84,2.5,0.0,25.37,58.3,2.5,0.0,0.0,0.0,48.33,81.25999999999999,83.54096470588236,35.21096470588236,2.2809647058823685,0.0,0.0,0.0,0.0,0.0,0.0,0.396,0.0,0.0,2025-05-10_04:00_08:00,4.0,pay_as_bid,2.39,2.39,2.39,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.674310961498,2.5,0.0,2.5,2.0475,0.3391752577319589
2025-05-10 07:45:00+02:00,plant_1,0.0,93.91,32.93,126.84,2.5,0.0,4.17,37.1,2.5,0.0,0.0,0.0,31.3,64.23,83.54096470588236,52.24096470588236,19.310964705882355,0.0,0.0,0.0,0.0,0.0,0.0,0.107,0.0,0.0,2025-05-10_04:00_08:00,4.0,pay_as_bid,2.39,2.39,2.39,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.328300284031144,2.5,0.0,2.5,2.0475,0.6782657216494847
2025-05-10 08:00:00+02:00,plant_1,0.0,73.72,32.93,106.65,0.0,0.0,65.8,98.72999999999999,0.0,0.0,0.0,0.0,0.0,32.93,83.54096470588236,83.54096470588236,50.61096470588236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-05-10_08:00_12:00,4.0,pay_as_bid,48.46,48.46,48.46,48.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,51.02040816326531,0.0,1.4122467294374996,0.0,0.6577532705625002,0.0
2025-05-10 08:15:00+02:00,plant_1,0.0,73.72,32.93,106.65,2.5,0.0,34.74,67.67,2.5,0.0,0.0,0.0,45.81,78.74000000000001,83.54096470588236,37.73096470588236,4.80096470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.334,0.0,0.0,2025-05-10_08:00_12:00,4.0,pay_as_bid,48.46,48.46,48.46,48.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.69798022301704,2.5,0.0,2.5,2.07,0.3159793814432992
2025-05-10 08:30:00+02:00,plant_1,0.0,73.72,32.93,106.65,2.5,0.0,19.92,52.85,2.5,0.0,0.0,0.0,23.84,56.769999999999996,83.54096470588236,59.700964705882356,26.770964705882363,0.0,0.0,0.0,0.0,0.0,0.0,1.835,0.0,0.0,2025-05-10_08:00_12:00,4.0,pay_as_bid,48.46,48.46,48.46,48.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.37563288975384,2.5,0.0,2.5,2.07,0.6318797680412376
2025-05-10 08:45:00+02:00,plant_1,0.0,73.72,32.93,106.65,2.5,0.0,10.07,43.0,2.5,0.0,0.0,0.0,75.55,108.47999999999999,83.54096470588236,7.990964705882362,-24.93903529411763,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,2025-05-10_08:00_12:00,4.0,pay_as_bid,48.46,48.46,48.46,48.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.053366143323956,2.5,0.0,2.5,2.07,0.9477011795425264
2025-05-10 09:00:00+02:00,plant_1,2.5,9.02,32.93,41.95,0.0,0.0,30.42,63.35,2.5,0.0,0.0,0.0,0.0,32.93,83.54096470588236,83.54096470588236,50.61096470588236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-05-10_08:00_12:00,4.0,pay_as_bid,48.46,48.46,48.46,48.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.762738978939396,2.5,0.0,2.5,2.1,1.2325158006393933
2025-05-10 09:15:00+02:00,plant_1,2.5,9.02,32.93,41.95,0.0,0.0,6.32,39.25,2.5,0.0,0.0,0.0,13.99,46.92,83.54096470588236,69.55096470588236,36.62096470588236,0.0,0.0,0.0,0.0,0.0,0.0,1.715,0.0,0.0,2025-05-10_08:00_12:00,4.0,pay_as_bid,48.46,48.46,48.46,48.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.47218447134593,2.5,0.0,2.5,2.1,1.5172592180809858
2025-05-10 09:30:00+02:00,plant_1,2.5,9.02,32.93,41.95,0.0,0.0,0.21,33.14,2.5,0.0,0.0,0.0,-0.09,32.839999999999996,83.54096470588236,83.63096470588236,50.70096470588236,0.0,0.0,0.0,0.0,0.0,0.0,5.71,0.0,0.0,2025-05-10_08:00_12:00,4.0,pay_as_bid,48.46,48.46,48.46,48.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.181702602379374,2.5,0.0,2.5,2.1,1.8019314496682182
2025-05-10 09:45:00+02:00,plant_1,2.5,9.02,32.93,41.95,0.0,0.0,-4.82,28.11,2.5,0.0,0.0,0.0,-21.53,11.399999999999999,83.54096470588236,105.07096470588236,72.14096470588237,0.0,0.0,0.0,0.0,0.0,0.0,11.299,0.0,0.0,2025-05-10_08:00_12:00,4.0,pay_as_bid,48.46,48.46,48.46,48.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.891293353880044,2.5,0.0,2.5,2.1,2.086532513197554
2025-05-10 10:00:00+02:00,plant_1,2.5,-0.07,32.93,32.86,0.0,0.0,0.69,33.62,2.5,0.0,0.0,0.0,3.23,36.16,83.54096470588236,80.31096470588236,47.38096470588236,0.0,0.0,0.0,0.0,0.0,0.0,6.396,0.0,0.0,2025-05-10_08:00_12:00,4.0,pay_as_bid,48.46,48.46,48.46,48.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.60095670769285,2.5,0.0,2.5,2.1,2.371062426461007
2025-05-10 10:15:00+02:00,plant_1,2.5,-0.07,32.93,32.86,0.0,0.0,-5.41,27.52,2.5,0.0,0.0,0.0,10.95,43.879999999999995,83.54096470588236,72.59096470588236,39.660964705882364,0.0,0.0,0.0,0.0,0.0,0.0,3.64,0.0,0.0,2025-05-10_08:00_12:00,4.0,pay_as_bid,48.46,48.46,48.46,48.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.310692645667196,2.5,0.0,2.5,2.1,2.6555212072461445
2025-05-10 10:30:00+02:00,plant_1,2.5,-0.07,32.93,32.86,0.0,0.0,-15.31,17.619999999999997,2.5,0.0,0.0,0.0,15.84,48.769999999999996,83.54096470588236,67.70096470588236,34.77096470588236,0.0,0.0,0.0,0.0,0.0,0.0,1.664,0.0,0.0,2025-05-10_08:00_12:00,4.0,pay_as_bid,48.46,48.46,48.46,48.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.02050114965706,2.5,0.0,2.5,2.1,2.9399088733360856
2025-05-10 10:45:00+02:00,plant_1,2.5,-0.07,32.93,32.86,0.0,0.0,-40.78,-7.850000000000001,2.5,0.0,0.0,0.0,-48.53,-15.600000000000001,83.54096470588236,132.07096470588237,99.14096470588237,0.0,0.0,0.0,0.0,0.0,0.0,21.279,0.0,0.0,2025-05-10_08:00_12:00,4.0,pay_as_bid,48.46,48.46,48.46,48.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.73038220152091,2.5,0.0,2.5,2.1,3.2242254425095043
2025-05-10 11:00:00+02:00,plant_1,2.5,-22.88,32.93,10.05,0.0,0.0,-46.6,-13.670000000000002,2.5,0.0,0.0,0.0,10.19,43.12,83.54096470588236,73.35096470588236,40.42096470588236,0.0,0.0,0.0,0.0,0.0,0.0,4.854,0.0,0.0,2025-05-10_08:00_12:00,4.0,pay_as_bid,48.46,48.46,48.46,48.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.4403357831218,2.5,0.0,2.5,2.1,3.5084709325406296
2025-05-10 11:15:00+02:00,plant_1,2.5,-22.88,32.93,10.05,0.0,0.0,-68.97,-36.04,2.5,0.0,0.0,0.0,-5.89,27.04,83.54096470588236,89.43096470588236,56.50096470588236,0.0,0.0,0.0,0.0,0.0,0.0,4.228,0.0,0.0,2025-05-10_08:00_12:00,4.0,pay_as_bid,48.46,48.46,48.46,48.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.150361876327295,2.5,0.0,2.5,2.1,3.792645361199247
2025-05-10 11:30:00+02:00,plant_1,2.5,-22.88,32.93,10.05,0.0,0.0,-90.41,-57.48,2.5,0.0,0.0,0.0,-0.4,32.53,83.54096470588236,83.94096470588237,51.01096470588236,0.0,0.0,0.0,0.0,0.0,0.0,3.423,0.0,0.0,2025-05-10_08:00_12:00,4.0,pay_as_bid,48.46,48.46,48.46,48.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.86046046300949,2.5,0.0,2.5,2.1,4.0767487462507
2025-05-10 11:45:00+02:00,plant_1,2.5,-22.88,32.93,10.05,0.0,0.0,-97.49,-64.56,2.5,0.0,0.0,0.0,-24.98,7.949999999999999,83.54096470588236,108.52096470588236,75.59096470588236,0.0,0.0,0.0,0.0,0.0,0.0,7.189,0.0,0.0,2025-05-10_08:00_12:00,4.0,pay_as_bid,48.46,48.46,48.46,48.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.57063152504501,2.5,0.0,2.5,2.1,4.36078110545589
