datetime,DE_DA_price,aFRR_capacity_down_price,aFRR_energy_down_price,aFRR_energy_down_quantity,coal_price,natural_gas_price,biomass_price,co2_price,hydrogen_price,iron_ore_price,lime_price,P100000120423_bf_bof_hydrogen_electrolyser_steel_demand,P100000120426_bf_bof_hydrogen_electrolyser_steel_demand,P100000120428_bf_bof_hydrogen_electrolyser_steel_demand,P100000120425_bf_bof_hydrogen_electrolyser_steel_demand,P100000120427_bf_bof_hydrogen_electrolyser_steel_demand,P100000120422_bf_bof_hydrogen_electrolyser_steel_demand,P100000120432_bf_bof_hydrogen_electrolyser_steel_demand,P100000120424_bf_bof_hydrogen_electrolyser_steel_demand,P100000120421_bf_bof_hydrogen_electrolyser_steel_demand
2040-01-01 00:00:00,0.0,35.446,0.0,0.0,195.46469819042247,139.64081638501017,80.026755848841,562.7562047889996,122.88425095062452,225.0,100.0,43.4770901255555,110.6022256784215,36.30881146008775,67.031651926316,30.53702554308475,117.305390871053,75.4106084171055,145.2352458403515,251.368694723685
2040-01-01 00:15:00,0.0,35.446,0.0,0.0,195.46469819042247,139.64081638501017,80.026755848841,562.7562047889996,122.88425095062452,225.0,100.0,43.4770901255555,110.6022256784215,36.30881146008775,67.031651926316,30.53702554308475,117.305390871053,75.4106084171055,145.2352458403515,251.368694723685
2040-01-01 00:30:00,0.0,35.446,0.0,0.0,195.46469819042247,139.64081638501017,80.026755848841,562.7562047889996,122.88425095062452,225.0,100.0,43.4770901255555,110.6022256784215,36.30881146008775,67.031651926316,30.53702554308475,117.305390871053,75.4106084171055,145.2352458403515,251.368694723685
2040-01-01 00:45:00,0.0,35.446,0.0,0.0,195.46469819042247,139.64081638501017,80.026755848841,562.7562047889996,122.88425095062452,225.0,100.0,43.4770901255555,110.6022256784215,36.30881146008775,67.031651926316,30.53702554308475,117.305390871053,75.4106084171055,145.2352458403515,251.368694723685
2040-01-01 01:00:00,0.0,35.446,0.0,0.0,195.46469819042247,139.64081638501017,80.026755848841,562.7562047889996,122.88425095062452,225.0,100.0,43.4770901255555,110.6022256784215,36.30881146008775,67.031651926316,30.53702554308475,117.305390871053,75.4106084171055,145.2352458403515,251.368694723685
2040-01-01 01:15:00,0.0,35.446,0.0,0.0,195.46469819042247,139.64081638501017,80.026755848841,562.7562047889996,122.88425095062452,225.0,100.0,43.4770901255555,110.6022256784215,36.30881146008775,67.031651926316,30.53702554308475,117.305390871053,75.4106084171055,145.2352458403515,251.368694723685
2040-01-01 01:30:00,0.0,35.446,0.0,0.0,195.46469819042247,139.64081638501017,80.026755848841,562.7562047889996,122.88425095062452,225.0,100.0,43.4770901255555,110.6022256784215,36.30881146008775,67.031651926316,30.53702554308475,117.305390871053,75.4106084171055,145.2352458403515,251.368694723685
2040-01-01 01:45:00,0.0,35.446,0.0,0.0,195.46469819042247,139.64081638501017,80.026755848841,562.7562047889996,122.88425095062452,225.0,100.0,43.4770901255555,110.6022256784215,36.30881146008775,67.031651926316,30.53702554308475,117.305390871053,75.4106084171055,145.2352458403515,251.368694723685
2040-01-01 02:00:00,0.0,35.446,0.0,3.453,195.46469819042247,139.64081638501017,80.026755848841,562.7562047889996,122.88425095062452,225.0,100.0,43.4770901255555,110.6022256784215,36.30881146008775,67.031651926316,30.53702554308475,117.305390871053,75.4106084171055,145.2352458403515,251.368694723685
2040-01-01 02:15:00,0.0,35.446,0.0,3.453,195.46469819042247,139.64081638501017,80.026755848841,562.7562047889996,122.88425095062452,225.0,100.0,43.4770901255555,110.6022256784215,36.30881146008775,67.031651926316,30.53702554308475,117.305390871053,75.4106084171055,145.2352458403515,251.368694723685
2040-01-01 02:30:00,0.0,35.446,0.0,3.453,195.46469819042247,139.64081638501017,80.026755848841,562.7562047889996,122.88425095062452,225.0,100.0,43.4770901255555,110.6022256784215,36.30881146008775,67.031651926316,30.53702554308475,117.305390871053,75.4106084171055,145.2352458403515,251.368694723685
2040-01-01 02:45:00,0.0,35.446,0.0,3.453,195.46469819042247,139.64081638501017,80.026755848841,562.7562047889996,122.88425095062452,225.0,100.0,43.4770901255555,110.6022256784215,36.30881146008775,67.031651926316,30.53702554308475,117.305390871053,75.4106084171055,145.2352458403515,251.368694723685
2040-01-01 03:00:00,0.0,35.446,0.0,18.417,195.46469819081497,139.64081641980707,79.88522142025231,562.7562047889996,123.05557345810722,225.0,100.0,43.4770901255555,110.6022256784215,36.30881146008775,67.031651926316,30.53702554308475,117.305390871053,75.4106084171055,145.2352458403515,251.368694723685
2040-01-01 03:15:00,0.0,35.446,0.0,18.417,195.46469819081497,139.64081641980707,79.88522142025231,562.7562047889996,123.05557345810722,225.0,100.0,43.4770901255555,110.6022256784215,36.30881146008775,67.031651926316,30.53702554308475,117.305390871053,75.4106084171055,145.2352458403515,251.368694723685
2040-01-01 03:30:00,0.0,35.446,0.0,18.417,195.46469819081497,139.64081641980707,79.88522142025231,562.7562047889996,123.05557345810722,225.0,100.0,43.4770901255555,110.6022256784215,36.30881146008775,67.031651926316,30.53702554308475,117.305390871053,75.4106084171055,145.2352458403515,251.368694723685
2040-01-01 03:45:00,0.0,35.446,0.0,18.417,195.46469819081497,139.64081641980707,79.88522142025231,562.7562047889996,123.05557345810722,225.0,100.0,43.4770901255555,110.6022256784215,36.30881146008775,67.031651926316,30.53702554308475,117.305390871053,75.4106084171055,145.2352458403515,251.368694723685
2040-01-01 04:00:00,0.0,86.438,0.0,5.865,195.46469819081497,139.64081641980707,79.88522142025231,562.7562047889996,123.05557345810722,225.0,100.0,43.4770901255555,110.6022256784215,36.30881146008775,67.031651926316,30.53702554308475,117.305390871053,75.4106084171055,145.2352458403515,251.368694723685
2040-01-01 04:15:00,0.0,86.438,0.0,5.865,195.46469819081497,139.64081641980707,79.88522142025231,562.7562047889996,123.05557345810722,225.0,100.0,43.4770901255555,110.6022256784215,36.30881146008775,67.031651926316,30.53702554308475,117.305390871053,75.4106084171055,145.2352458403515,251.368694723685
2040-01-01 04:30:00,0.0,86.438,0.0,5.865,195.46469819081497,139.64081641980707,79.88522142025231,562.7562047889996,123.05557345810722,225.0,100.0,43.4770901255555,110.6022256784215,36.30881146008775,67.031651926316,30.53702554308475,117.305390871053,75.4106084171055,145.2352458403515,251.368694723685
2040-01-01 04:45:00,0.0,86.438,0.0,5.865,195.46469819081497,139.64081641980707,79.88522142025231,562.7562047889996,123.05557345810722,225.0,100.0,43.4770901255555,110.6022256784215,36.30881146008775,67.031651926316,30.53702554308475,117.305390871053,75.4106084171055,145.2352458403515,251.368694723685
2040-01-01 05:00:00,0.0,86.438,0.0,2.713,195.46469819081497,139.64081641980707,79.88522142025231,562.7562047889996,123.05557345810722,225.0,100.0,43.4770901255555,110.6022256784215,36.30881146008775,67.031651926316,30.53702554308475,117.305390871053,75.4106084171055,145.2352458403515,251.368694723685
2040-01-01 05:15:00,0.0,86.438,0.0,2.713,195.46469819081497,139.64081641980707,79.88522142025231,562.7562047889996,123.05557345810722,225.0,100.0,43.4770901255555,110.6022256784215,36.30881146008775,67.031651926316,30.53702554308475,117.305390871053,75.4106084171055,145.2352458403515,251.368694723685
2040-01-01 05:30:00,0.0,86.438,0.0,2.713,195.46469819081497,139.64081641980707,79.88522142025231,562.7562047889996,123.05557345810722,225.0,100.0,43.4770901255555,110.6022256784215,36.30881146008775,67.031651926316,30.53702554308475,117.305390871053,75.4106084171055,145.2352458403515,251.368694723685
2040-01-01 05:45:00,0.0,86.438,0.0,2.713,195.46469819081497,139.64081641980707,79.88522142025231,562.7562047889996,123.05557345810722,225.0,100.0,43.4770901255555,110.6022256784215,36.30881146008775,67.031651926316,30.53702554308475,117.305390871053,75.4106084171055,145.2352458403515,251.368694723685
2040-01-01 06:00:00,0.0,86.438,0.0,54.674,195.4646981900454,139.64081641964853,79.86909174696346,562.7562047889996,123.07717147805036,225.0,100.0,44.35775721634075,112.8425720318985,37.04427869734025,68.38943759509,31.1555801282375,119.6815157914075,76.93811729447626,148.17711478936175,256.4603909815875
2040-01-01 06:15:00,0.0,86.438,0.0,54.674,195.4646981900454,139.64081641964853,79.86909174696346,562.7562047889996,123.07717147805036,225.0,100.0,44.35775721634075,112.8425720318985,37.04427869734025,68.38943759509,31.1555801282375,119.6815157914075,76.93811729447626,148.17711478936175,256.4603909815875
2040-01-01 06:30:00,0.0,86.438,0.0,54.674,195.4646981900454,139.64081641964853,79.86909174696346,562.7562047889996,123.07717147805036,225.0,100.0,44.35775721634075,112.8425720318985,37.04427869734025,68.38943759509,31.1555801282375,119.6815157914075,76.93811729447626,148.17711478936175,256.4603909815875
2040-01-01 06:45:00,0.0,86.438,0.0,54.674,195.4646981900454,139.64081641964853,79.86909174696346,562.7562047889996,123.07717147805036,225.0,100.0,44.35775721634075,112.8425720318985,37.04427869734025,68.38943759509,31.1555801282375,119.6815157914075,76.93811729447626,148.17711478936175,256.4603909815875
2040-01-01 07:00:00,0.0,86.438,0.0,18.98,195.4646981900454,139.64081641964853,79.86909174696346,562.7562047889996,123.07717147805036,225.0,100.0,44.40486416416325,112.96240832404774,37.083618894258,68.462065650938,31.18866665874725,119.8086148891415,77.01982385730525,148.3344755770325,256.7327461910175
2040-01-01 07:15:00,0.0,86.438,0.0,18.98,195.4646981900454,139.64081641964853,79.86909174696346,562.7562047889996,123.07717147805036,225.0,100.0,44.40486416416325,112.96240832404774,37.083618894258,68.462065650938,31.18866665874725,119.8086148891415,77.01982385730525,148.3344755770325,256.7327461910175
2040-01-01 07:30:00,0.0,86.438,0.0,18.98,195.4646981900454,139.64081641964853,79.86909174696346,562.7562047889996,123.07717147805036,225.0,100.0,44.40486416416325,112.96240832404774,37.083618894258,68.462065650938,31.18866665874725,119.8086148891415,77.01982385730525,148.3344755770325,256.7327461910175
2040-01-01 07:45:00,0.0,86.438,0.0,18.98,195.4646981900454,139.64081641964853,79.86909174696346,562.7562047889996,123.07717147805036,225.0,100.0,44.40486416416325,112.96240832404774,37.083618894258,68.462065650938,31.18866665874725,119.8086148891415,77.01982385730525,148.3344755770325,256.7327461910175
2040-01-01 08:00:00,0.0,136.46,0.0,141.28,195.4646981900454,139.64081641964853,79.86909174696346,562.7562047889996,123.07717147805036,225.0,100.0,44.46767342753825,113.12219004592525,37.13607248982375,68.5589030581365,31.2327820324875,119.978080351739,77.1287659404035,148.54428995929575,257.09588646801
2040-01-01 08:15:00,0.0,136.46,0.0,141.28,195.4646981900454,139.64081641964853,79.86909174696346,562.7562047889996,123.07717147805036,225.0,100.0,44.46767342753825,113.12219004592525,37.13607248982375,68.5589030581365,31.2327820324875,119.978080351739,77.1287659404035,148.54428995929575,257.09588646801
2040-01-01 08:30:00,0.0,136.46,0.0,141.28,195.4646981900454,139.64081641964853,79.86909174696346,562.7562047889996,123.07717147805036,225.0,100.0,44.46767342753825,113.12219004592525,37.13607248982375,68.5589030581365,31.2327820324875,119.978080351739,77.1287659404035,148.54428995929575,257.09588646801
2040-01-01 08:45:00,0.0,136.46,0.0,141.28,195.4646981900454,139.64081641964853,79.86909174696346,562.7562047889996,123.07717147805036,225.0,100.0,44.46767342753825,113.12219004592525,37.13607248982375,68.5589030581365,31.2327820324875,119.978080351739,77.1287659404035,148.54428995929575,257.09588646801
2040-01-01 09:00:00,0.0,136.46,0.0,84.236,195.46469818905044,139.64081640767714,79.89021200276541,562.7562047889996,122.38701110638158,225.0,100.0,44.46767342753825,113.12219004592525,37.13607248982375,68.5589030581365,31.2327820324875,119.978080351739,77.1287659404035,148.54428995929575,257.09588646801
2040-01-01 09:15:00,0.0,136.46,0.0,84.236,195.46469818905044,139.64081640767714,79.89021200276541,562.7562047889996,122.38701110638158,225.0,100.0,44.46767342753825,113.12219004592525,37.13607248982375,68.5589030581365,31.2327820324875,119.978080351739,77.1287659404035,148.54428995929575,257.09588646801
2040-01-01 09:30:00,0.0,136.46,0.0,84.236,195.46469818905044,139.64081640767714,79.89021200276541,562.7562047889996,122.38701110638158,225.0,100.0,44.46767342753825,113.12219004592525,37.13607248982375,68.5589030581365,31.2327820324875,119.978080351739,77.1287659404035,148.54428995929575,257.09588646801
