datetime,DE_DA_price,aFRR_capacity_down_price,aFRR_energy_down_price,aFRR_energy_down_quantity,coal_price,natural_gas_price,biomass_price,co2_price,hydrogen_price,iron_ore_price,lime_price,P100000120423_dri_bof_natural_gas_external_steel_demand,P100000120426_dri_bof_natural_gas_external_steel_demand,P100000120428_dri_bof_natural_gas_external_steel_demand,P100000120425_dri_bof_natural_gas_external_steel_demand,P100000120427_dri_bof_natural_gas_external_steel_demand,P100000120422_dri_bof_natural_gas_external_steel_demand,P100000120432_dri_bof_natural_gas_external_steel_demand,P100000120424_dri_bof_natural_gas_external_steel_demand,P100000120421_dri_bof_natural_gas_external_steel_demand
2040-01-02 00:00:00,0.0,7.6181,0.0,460.0,195.46469819009835,139.6408163890813,79.91700483712772,562.7562047889996,122.33203604903709,225.0,100.0,43.816163202178,111.46480035473425,36.59197991443275,67.5544244574145,30.7751804695505,118.22024280047575,75.9987275145915,146.36791965773176,253.329091715305
2040-01-02 00:15:00,0.0,7.6181,0.0,460.0,195.46469819009835,139.6408163890813,79.91700483712772,562.7562047889996,122.33203604903709,225.0,100.0,43.816163202178,111.46480035473425,36.59197991443275,67.5544244574145,30.7751804695505,118.22024280047575,75.9987275145915,146.36791965773176,253.329091715305
2040-01-02 00:30:00,0.0,7.6181,0.0,460.0,195.46469819009835,139.6408163890813,79.91700483712772,562.7562047889996,122.33203604903709,225.0,100.0,43.816163202178,111.46480035473425,36.59197991443275,67.5544244574145,30.7751804695505,118.22024280047575,75.9987275145915,146.36791965773176,253.329091715305
2040-01-02 00:45:00,0.0,7.6181,0.0,460.0,195.46469819009835,139.6408163890813,79.91700483712772,562.7562047889996,122.33203604903709,225.0,100.0,43.816163202178,111.46480035473425,36.59197991443275,67.5544244574145,30.7751804695505,118.22024280047575,75.9987275145915,146.36791965773176,253.329091715305
2040-01-02 01:00:00,0.0,7.6181,0.0,334.46,195.46469819009835,139.6408163890813,79.91700483712772,562.7562047889996,122.33203604903709,225.0,100.0,43.816163202178,111.46480035473425,36.59197991443275,67.5544244574145,30.7751804695505,118.22024280047575,75.9987275145915,146.36791965773176,253.329091715305
2040-01-02 01:15:00,0.0,7.6181,0.0,334.46,195.46469819009835,139.6408163890813,79.91700483712772,562.7562047889996,122.33203604903709,225.0,100.0,43.816163202178,111.46480035473425,36.59197991443275,67.5544244574145,30.7751804695505,118.22024280047575,75.9987275145915,146.36791965773176,253.329091715305
2040-01-02 01:30:00,0.0,7.6181,0.0,334.46,195.46469819009835,139.6408163890813,79.91700483712772,562.7562047889996,122.33203604903709,225.0,100.0,43.816163202178,111.46480035473425,36.59197991443275,67.5544244574145,30.7751804695505,118.22024280047575,75.9987275145915,146.36791965773176,253.329091715305
2040-01-02 01:45:00,0.0,7.6181,0.0,334.46,195.46469819009835,139.6408163890813,79.91700483712772,562.7562047889996,122.33203604903709,225.0,100.0,43.816163202178,111.46480035473425,36.59197991443275,67.5544244574145,30.7751804695505,118.22024280047575,75.9987275145915,146.36791965773176,253.329091715305
2040-01-02 02:00:00,0.0,7.6181,0.0,160.65,195.46469819009835,139.6408163890813,79.91700483712772,562.7562047889996,122.33203604903709,225.0,100.0,43.816163202178,111.46480035473425,36.59197991443275,67.5544244574145,30.7751804695505,118.22024280047575,75.9987275145915,146.36791965773176,253.329091715305
2040-01-02 02:15:00,0.0,7.6181,0.0,160.65,195.46469819009835,139.6408163890813,79.91700483712772,562.7562047889996,122.33203604903709,225.0,100.0,43.816163202178,111.46480035473425,36.59197991443275,67.5544244574145,30.7751804695505,118.22024280047575,75.9987275145915,146.36791965773176,253.329091715305
2040-01-02 02:30:00,0.0,7.6181,0.0,160.65,195.46469819009835,139.6408163890813,79.91700483712772,562.7562047889996,122.33203604903709,225.0,100.0,43.816163202178,111.46480035473425,36.59197991443275,67.5544244574145,30.7751804695505,118.22024280047575,75.9987275145915,146.36791965773176,253.329091715305
2040-01-02 02:45:00,0.0,7.6181,0.0,160.65,195.46469819009835,139.6408163890813,79.91700483712772,562.7562047889996,122.33203604903709,225.0,100.0,43.816163202178,111.46480035473425,36.59197991443275,67.5544244574145,30.7751804695505,118.22024280047575,75.9987275145915,146.36791965773176,253.329091715305
