datetime,DE_DA_price,aFRR_capacity_down_price,aFRR_energy_down_price,aFRR_energy_down_quantity,coal_price,natural_gas_price,biomass_price,co2_price,hydrogen_price,iron_ore_price,lime_price,P100000120423_bf_bof_coal_external_steel_demand,P100000120426_bf_bof_coal_external_steel_demand,P100000120428_bf_bof_coal_external_steel_demand,P100000120425_bf_bof_coal_external_steel_demand,P100000120427_bf_bof_coal_external_steel_demand,P100000120422_bf_bof_coal_external_steel_demand,P100000120432_bf_bof_coal_external_steel_demand,P100000120424_bf_bof_coal_external_steel_demand,P100000120421_bf_bof_coal_external_steel_demand
2035-01-01 00:00:00,0.0,37.073,0.0,0.0,177.0404151376791,128.14989043436188,97.18902450319156,508.0628459357132,139.6516885007798,225.0,100.0,39.1657695818965,106.596914548849,34.38610147374375,61.89498263580425,27.50888117052775,118.54164924473375,75.06485950163125,146.76585144586076,254.0178198101425
2035-01-01 00:15:00,0.0,37.073,0.0,0.0,177.0404151376791,128.14989043436188,97.18902450319156,508.0628459357132,139.6516885007798,225.0,100.0,39.1657695818965,106.596914548849,34.38610147374375,61.89498263580425,27.50888117052775,118.54164924473375,75.06485950163125,146.76585144586076,254.0178198101425
2035-01-01 00:30:00,0.0,37.073,0.0,0.0,177.0404151376791,128.14989043436188,97.18902450319156,508.0628459357132,139.6516885007798,225.0,100.0,39.1657695818965,106.596914548849,34.38610147374375,61.89498263580425,27.50888117052775,118.54164924473375,75.06485950163125,146.76585144586076,254.0178198101425
2035-01-01 00:45:00,0.0,37.073,0.0,0.0,177.0404151376791,128.14989043436188,97.18902450319156,508.0628459357132,139.6516885007798,225.0,100.0,39.1657695818965,106.596914548849,34.38610147374375,61.89498263580425,27.50888117052775,118.54164924473375,75.06485950163125,146.76585144586076,254.0178198101425
2035-01-01 01:00:00,0.0,37.073,0.0,0.0,177.0404151376791,128.14989043436188,97.18902450319156,508.0628459357132,139.6516885007798,225.0,100.0,39.1657695818965,106.596914548849,34.38610147374375,61.89498263580425,27.50888117052775,118.54164924473375,75.06485950163125,146.76585144586076,254.0178198101425
2035-01-01 01:15:00,0.0,37.073,0.0,0.0,177.0404151376791,128.14989043436188,97.18902450319156,508.0628459357132,139.6516885007798,225.0,100.0,39.1657695818965,106.596914548849,34.38610147374375,61.89498263580425,27.50888117052775,118.54164924473375,75.06485950163125,146.76585144586076,254.0178198101425
2035-01-01 01:30:00,0.0,37.073,0.0,0.0,177.0404151376791,128.14989043436188,97.18902450319156,508.0628459357132,139.6516885007798,225.0,100.0,39.1657695818965,106.596914548849,34.38610147374375,61.89498263580425,27.50888117052775,118.54164924473375,75.06485950163125,146.76585144586076,254.0178198101425
2035-01-01 01:45:00,0.0,37.073,0.0,0.0,177.0404151376791,128.14989043436188,97.18902450319156,508.0628459357132,139.6516885007798,225.0,100.0,39.1657695818965,106.596914548849,34.38610147374375,61.89498263580425,27.50888117052775,118.54164924473375,75.06485950163125,146.76585144586076,254.0178198101425
2035-01-01 02:00:00,0.0,37.073,0.0,3.453,177.0404151376791,128.14989043436188,97.18902450319156,508.0628459357132,139.6516885007798,225.0,100.0,39.1657695818965,106.596914548849,34.38610147374375,61.89498263580425,27.50888117052775,118.54164924473375,75.06485950163125,146.76585144586076,254.0178198101425
2035-01-01 02:15:00,0.0,37.073,0.0,3.453,177.0404151376791,128.14989043436188,97.18902450319156,508.0628459357132,139.6516885007798,225.0,100.0,39.1657695818965,106.596914548849,34.38610147374375,61.89498263580425,27.50888117052775,118.54164924473375,75.06485950163125,146.76585144586076,254.0178198101425
2035-01-01 02:30:00,0.0,37.073,0.0,3.453,177.0404151376791,128.14989043436188,97.18902450319156,508.0628459357132,139.6516885007798,225.0,100.0,39.1657695818965,106.596914548849,34.38610147374375,61.89498263580425,27.50888117052775,118.54164924473375,75.06485950163125,146.76585144586076,254.0178198101425
2035-01-01 02:45:00,0.0,37.073,0.0,3.453,177.0404151376791,128.14989043436188,97.18902450319156,508.0628459357132,139.6516885007798,225.0,100.0,39.1657695818965,106.596914548849,34.38610147374375,61.89498263580425,27.50888117052775,118.54164924473375,75.06485950163125,146.76585144586076,254.0178198101425
2035-01-01 03:00:00,0.0,37.073,0.0,18.417,177.04041513689032,128.14989074451518,97.1891091450047,508.0628459357132,139.635298531969,225.0,100.0,39.1657695818965,106.596914548849,34.38610147374375,61.89498263580425,27.50888117052775,118.54164924473375,75.06485950163125,146.76585144586076,254.0178198101425
2035-01-01 03:15:00,0.0,37.073,0.0,18.417,177.04041513689032,128.14989074451518,97.1891091450047,508.0628459357132,139.635298531969,225.0,100.0,39.1657695818965,106.596914548849,34.38610147374375,61.89498263580425,27.50888117052775,118.54164924473375,75.06485950163125,146.76585144586076,254.0178198101425
2035-01-01 03:30:00,0.0,37.073,0.0,18.417,177.04041513689032,128.14989074451518,97.1891091450047,508.0628459357132,139.635298531969,225.0,100.0,39.1657695818965,106.596914548849,34.38610147374375,61.89498263580425,27.50888117052775,118.54164924473375,75.06485950163125,146.76585144586076,254.0178198101425
2035-01-01 03:45:00,0.0,37.073,0.0,18.417,177.04041513689032,128.14989074451518,97.1891091450047,508.0628459357132,139.635298531969,225.0,100.0,39.1657695818965,106.596914548849,34.38610147374375,61.89498263580425,27.50888117052775,118.54164924473375,75.06485950163125,146.76585144586076,254.0178198101425
2035-01-01 04:00:00,0.0,86.428,0.0,5.865,177.04041513689032,128.14989074451518,97.1891091450047,508.0628459357132,139.635298531969,225.0,100.0,39.1657695818965,106.596914548849,34.38610147374375,61.89498263580425,27.50888117052775,118.54164924473375,75.06485950163125,146.76585144586076,254.0178198101425
2035-01-01 04:15:00,0.0,86.428,0.0,5.865,177.04041513689032,128.14989074451518,97.1891091450047,508.0628459357132,139.635298531969,225.0,100.0,39.1657695818965,106.596914548849,34.38610147374375,61.89498263580425,27.50888117052775,118.54164924473375,75.06485950163125,146.76585144586076,254.0178198101425
2035-01-01 04:30:00,0.0,86.428,0.0,5.865,177.04041513689032,128.14989074451518,97.1891091450047,508.0628459357132,139.635298531969,225.0,100.0,39.1657695818965,106.596914548849,34.38610147374375,61.89498263580425,27.50888117052775,118.54164924473375,75.06485950163125,146.76585144586076,254.0178198101425
2035-01-01 04:45:00,0.0,86.428,0.0,5.865,177.04041513689032,128.14989074451518,97.1891091450047,508.0628459357132,139.635298531969,225.0,100.0,39.1657695818965,106.596914548849,34.38610147374375,61.89498263580425,27.50888117052775,118.54164924473375,75.06485950163125,146.76585144586076,254.0178198101425
2035-01-01 05:00:00,0.0,86.428,0.0,2.713,177.04041513689032,128.14989074451518,97.1891091450047,508.0628459357132,139.635298531969,225.0,100.0,39.1657695818965,106.596914548849,34.38610147374375,61.89498263580425,27.50888117052775,118.54164924473375,75.06485950163125,146.76585144586076,254.0178198101425
2035-01-01 05:15:00,0.0,86.428,0.0,2.713,177.04041513689032,128.14989074451518,97.1891091450047,508.0628459357132,139.635298531969,225.0,100.0,39.1657695818965,106.596914548849,34.38610147374375,61.89498263580425,27.50888117052775,118.54164924473375,75.06485950163125,146.76585144586076,254.0178198101425
2035-01-01 05:30:00,0.0,86.428,0.0,2.713,177.04041513689032,128.14989074451518,97.1891091450047,508.0628459357132,139.635298531969,225.0,100.0,39.1657695818965,106.596914548849,34.38610147374375,61.89498263580425,27.50888117052775,118.54164924473375,75.06485950163125,146.76585144586076,254.0178198101425
2035-01-01 05:45:00,0.0,86.428,0.0,2.713,177.04041513689032,128.14989074451518,97.1891091450047,508.0628459357132,139.635298531969,225.0,100.0,39.1657695818965,106.596914548849,34.38610147374375,61.89498263580425,27.50888117052775,118.54164924473375,75.06485950163125,146.76585144586076,254.0178198101425
2035-01-01 06:00:00,0.0,86.428,0.0,54.674,177.04041513419412,128.14989077121447,97.18914709489358,508.0628459357132,139.72673695288736,225.0,100.0,39.959107044565,108.75612976711875,35.08262251202425,63.1487205043665,28.06609800098075,120.9428156774705,76.58536492788275,149.7387241721065,259.1631764517225
2035-01-01 06:15:00,0.0,86.428,0.0,54.674,177.04041513419412,128.14989077121447,97.18914709489358,508.0628459357132,139.72673695288736,225.0,100.0,39.959107044565,108.75612976711875,35.08262251202425,63.1487205043665,28.06609800098075,120.9428156774705,76.58536492788275,149.7387241721065,259.1631764517225
2035-01-01 06:30:00,0.0,86.428,0.0,54.674,177.04041513419412,128.14989077121447,97.18914709489358,508.0628459357132,139.72673695288736,225.0,100.0,39.959107044565,108.75612976711875,35.08262251202425,63.1487205043665,28.06609800098075,120.9428156774705,76.58536492788275,149.7387241721065,259.1631764517225
2035-01-01 06:45:00,0.0,86.428,0.0,54.674,177.04041513419412,128.14989077121447,97.18914709489358,508.0628459357132,139.72673695288736,225.0,100.0,39.959107044565,108.75612976711875,35.08262251202425,63.1487205043665,28.06609800098075,120.9428156774705,76.58536492788275,149.7387241721065,259.1631764517225
2035-01-01 07:00:00,0.0,86.428,0.0,18.98,177.04041513419412,128.14989077121447,97.18914709489358,508.0628459357132,139.72673695288736,225.0,100.0,40.001542723928,108.87162634832124,35.1198794737095,63.2157830353815,28.09590357031975,121.07125424697175,76.66669687522474,149.8977433533935,259.438401957795
2035-01-01 07:15:00,0.0,86.428,0.0,18.98,177.04041513419412,128.14989077121447,97.18914709489358,508.0628459357132,139.72673695288736,225.0,100.0,40.001542723928,108.87162634832124,35.1198794737095,63.2157830353815,28.09590357031975,121.07125424697175,76.66669687522474,149.8977433533935,259.438401957795
2035-01-01 07:30:00,0.0,86.428,0.0,18.98,177.04041513419412,128.14989077121447,97.18914709489358,508.0628459357132,139.72673695288736,225.0,100.0,40.001542723928,108.87162634832124,35.1198794737095,63.2157830353815,28.09590357031975,121.07125424697175,76.66669687522474,149.8977433533935,259.438401957795
2035-01-01 07:45:00,0.0,86.428,0.0,18.98,177.04041513419412,128.14989077121447,97.18914709489358,508.0628459357132,139.72673695288736,225.0,100.0,40.001542723928,108.87162634832124,35.1198794737095,63.2157830353815,28.09590357031975,121.07125424697175,76.66669687522474,149.8977433533935,259.438401957795
2035-01-01 08:00:00,0.0,135.13,0.0,141.28,177.04041513419412,128.14989077121447,97.18914709489358,508.0628459357132,139.72673695288736,225.0,100.0,40.05812363009175,109.02562179086775,35.16955542292725,63.30519974394875,28.1356443296815,121.24250567402176,76.7751394723445,150.10976892974125,259.805369301475
2035-01-01 08:15:00,0.0,135.13,0.0,141.28,177.04041513419412,128.14989077121447,97.18914709489358,508.0628459357132,139.72673695288736,225.0,100.0,40.05812363009175,109.02562179086775,35.16955542292725,63.30519974394875,28.1356443296815,121.24250567402176,76.7751394723445,150.10976892974125,259.805369301475
2035-01-01 08:30:00,0.0,135.13,0.0,141.28,177.04041513419412,128.14989077121447,97.18914709489358,508.0628459357132,139.72673695288736,225.0,100.0,40.05812363009175,109.02562179086775,35.16955542292725,63.30519974394875,28.1356443296815,121.24250567402176,76.7751394723445,150.10976892974125,259.805369301475
2035-01-01 08:45:00,0.0,135.13,0.0,141.28,177.04041513419412,128.14989077121447,97.18914709489358,508.0628459357132,139.72673695288736,225.0,100.0,40.05812363009175,109.02562179086775,35.16955542292725,63.30519974394875,28.1356443296815,121.24250567402176,76.7751394723445,150.10976892974125,259.805369301475
2035-01-01 09:00:00,0.0,135.13,0.0,84.236,177.04041513058388,128.14989057582883,97.18917156960164,508.0628459357132,139.40771383959094,225.0,100.0,40.05812363009175,109.02562179086775,35.16955542292725,63.30519974394875,28.1356443296815,121.24250567402176,76.7751394723445,150.10976892974125,259.805369301475
2035-01-01 09:15:00,0.0,135.13,0.0,84.236,177.04041513058388,128.14989057582883,97.18917156960164,508.0628459357132,139.40771383959094,225.0,100.0,40.05812363009175,109.02562179086775,35.16955542292725,63.30519974394875,28.1356443296815,121.24250567402176,76.7751394723445,150.10976892974125,259.805369301475
