Réserves contractualisées : Volumes retenus et Prix marginaux du  Q4 2025;;;;;
Date;Heures;Type de réserve;Type de produit;Sens de la réserve;Volume contractualisé (en MW);Prix Marginal (en euros);Temporalité;
01/10/2025;03:30 - 03:45;mFRR;SPE0;UP;500;0,73;D
01/10/2025;03:30 - 03:45;FCR;STD;UP_DOWN;533;1,5;D
01/10/2025;03:30 - 03:45;aFRR;STD;UP;701;6,86;D
01/10/2025;03:30 - 03:45;aFRR;STD;DOWN;758;5,79;D
01/10/2025;03:45 - 04:00;RR;SPE0;UP;250;0,03;D
01/10/2025;03:45 - 04:00;mFRR;SPE0;UP;500;0,73;D
01/10/2025;03:45 - 04:00;FCR;STD;UP_DOWN;533;1,5;D
01/10/2025;03:45 - 04:00;aFRR;STD;UP;701;6,86;D
01/10/2025;03:45 - 04:00;aFRR;STD;DOWN;758;5,79;D
01/10/2025;04:00 - 04:15;RR;SPE0;UP;250;0,03;D
01/10/2025;04:00 - 04:15;mFRR;SPE0;UP;500;0,73;D
01/10/2025;04:00 - 04:15;FCR;STD;UP_DOWN;570;5,91;D
01/10/2025;04:00 - 04:15;aFRR;STD;UP;705;8,47;D
01/10/2025;04:00 - 04:15;aFRR;STD;DOWN;659;3,52;D
01/10/2025;04:15 - 04:30;RR;SPE0;UP;250;0,03;D
01/10/2025;04:15 - 04:30;mFRR;SPE0;UP;500;0,73;D
01/10/2025;04:15 - 04:30;FCR;STD;UP_DOWN;570;5,91;D
01/10/2025;04:15 - 04:30;aFRR;STD;UP;705;8,47;D
01/10/2025;04:15 - 04:30;aFRR;STD;DOWN;659;3,52;D
01/10/2025;04:30 - 04:45;RR;SPE0;UP;250;0,03;D
01/10/2025;04:30 - 04:45;mFRR;SPE0;UP;500;0,73;D
01/10/2025;04:30 - 04:45;FCR;STD;UP_DOWN;570;5,91;D
01/10/2025;04:30 - 04:45;aFRR;STD;UP;705;8,47;D
01/10/2025;04:30 - 04:45;aFRR;STD;DOWN;659;3,52;D
01/10/2025;04:45 - 05:00;RR;SPE0;UP;250;0,03;D
01/10/2025;04:45 - 05:00;mFRR;SPE0;UP;500;0,73;D
01/10/2025;04:45 - 05:00;FCR;STD;UP_DOWN;570;5,91;D
01/10/2025;04:45 - 05:00;aFRR;STD;UP;705;8,47;D
01/10/2025;04:45 - 05:00;aFRR;STD;DOWN;659;3,52;D
01/10/2025;05:00 - 05:15;RR;SPE0;UP;250;0,03;D
01/10/2025;05:00 - 05:15;mFRR;SPE0;UP;500;0,73;D
01/10/2025;05:00 - 05:15;FCR;STD;UP_DOWN;570;5,91;D
01/10/2025;05:00 - 05:15;aFRR;STD;UP;705;4,79;D
01/10/2025;05:00 - 05:15;aFRR;STD;DOWN;659;2,42;D
01/10/2025;05:15 - 05:30;RR;SPE0;UP;250;0,03;D
01/10/2025;05:15 - 05:30;mFRR;SPE0;UP;500;0,73;D
01/10/2025;05:15 - 05:30;FCR;STD;UP_DOWN;570;5,91;D
01/10/2025;05:15 - 05:30;aFRR;STD;UP;705;4,79;D
01/10/2025;05:15 - 05:30;aFRR;STD;DOWN;659;2,42;D
01/10/2025;05:30 - 05:45;RR;SPE0;UP;250;0,03;D
01/10/2025;05:30 - 05:45;mFRR;SPE0;UP;500;0,73;D
01/10/2025;05:30 - 05:45;FCR;STD;UP_DOWN;570;5,91;D
01/10/2025;05:30 - 05:45;aFRR;STD;UP;705;4,79;D
01/10/2025;05:30 - 05:45;aFRR;STD;DOWN;659;2,42;D
01/10/2025;05:45 - 06:00;RR;SPE0;UP;250;0,03;D
01/10/2025;05:45 - 06:00;mFRR;SPE0;UP;500;0,73;D
01/10/2025;05:45 - 06:00;FCR;STD;UP_DOWN;570;5,91;D
01/10/2025;05:45 - 06:00;aFRR;STD;UP;705;4,79;D
01/10/2025;05:45 - 06:00;aFRR;STD;DOWN;659;2,42;D
01/10/2025;06:00 - 06:15;RR;SPE0;UP;250;0,03;D
01/10/2025;06:00 - 06:15;mFRR;SPE0;UP;500;0,73;D
01/10/2025;06:00 - 06:15;FCR;STD;UP_DOWN;570;5,91;D
01/10/2025;06:00 - 06:15;aFRR;STD;UP;705;3,96;D
01/10/2025;06:00 - 06:15;aFRR;STD;DOWN;659;2,42;D
01/10/2025;06:15 - 06:30;RR;SPE0;UP;250;0,03;D
01/10/2025;06:15 - 06:30;mFRR;SPE0;UP;500;0,73;D
01/10/2025;06:15 - 06:30;FCR;STD;UP_DOWN;570;5,91;D
01/10/2025;06:15 - 06:30;aFRR;STD;UP;705;3,96;D
01/10/2025;06:15 - 06:30;aFRR;STD;DOWN;659;2,42;D
01/10/2025;06:30 - 06:45;RR;SPE0;UP;250;0,03;D
01/10/2025;06:30 - 06:45;mFRR;SPE0;UP;500;0,73;D
01/10/2025;06:30 - 06:45;FCR;STD;UP_DOWN;570;5,91;D
01/10/2025;06:30 - 06:45;aFRR;STD;UP;705;3,96;D
01/10/2025;06:30 - 06:45;aFRR;STD;DOWN;659;2,42;D
01/10/2025;06:45 - 07:00;RR;SPE0;UP;250;0,03;D
01/10/2025;06:45 - 07:00;mFRR;SPE0;UP;500;0,73;D
01/10/2025;06:45 - 07:00;FCR;STD;UP_DOWN;570;5,91;D
01/10/2025;06:45 - 07:00;aFRR;STD;UP;705;3,96;D
01/10/2025;06:45 - 07:00;aFRR;STD;DOWN;659;2,42;D
01/10/2025;07:00 - 07:15;RR;SPE0;UP;250;0,03;D
01/10/2025;07:00 - 07:15;mFRR;SPE0;UP;500;0,73;D
01/10/2025;07:00 - 07:15;FCR;STD;UP_DOWN;570;5,91;D
01/10/2025;07:00 - 07:15;aFRR;STD;DOWN;659;2,42;D
01/10/2025;07:00 - 07:15;aFRR;STD;UP;705;4,74;D
01/10/2025;07:15 - 07:30;RR;SPE0;UP;250;0,03;D
01/10/2025;07:15 - 07:30;mFRR;SPE0;UP;500;0,73;D
01/10/2025;07:15 - 07:30;FCR;STD;UP_DOWN;570;5,91;D
01/10/2025;07:15 - 07:30;aFRR;STD;DOWN;659;2,42;D
01/10/2025;07:15 - 07:30;aFRR;STD;UP;705;4,74;D
01/10/2025;07:30 - 07:45;RR;SPE0;UP;250;0,03;D
01/10/2025;07:30 - 07:45;mFRR;SPE0;UP;500;0,73;D
01/10/2025;07:30 - 07:45;FCR;STD;UP_DOWN;570;5,91;D
01/10/2025;07:30 - 07:45;aFRR;STD;DOWN;659;2,42;D
01/10/2025;07:30 - 07:45;aFRR;STD;UP;705;4,74;D
01/10/2025;07:45 - 08:00;RR;SPE0;UP;250;0,03;D
01/10/2025;07:45 - 08:00;mFRR;SPE0;UP;500;0,73;D
01/10/2025;07:45 - 08:00;FCR;STD;UP_DOWN;570;5,91;D
01/10/2025;07:45 - 08:00;aFRR;STD;DOWN;659;2,42;D
01/10/2025;07:45 - 08:00;aFRR;STD;UP;705;4,74;D
01/10/2025;08:00 - 08:15;RR;SPE0;UP;250;0,03;D
01/10/2025;08:00 - 08:15;mFRR;SPE0;UP;500;0,73;D
01/10/2025;08:00 - 08:15;FCR;STD;UP_DOWN;563;6,1;D
01/10/2025;08:00 - 08:15;aFRR;STD;UP;599;2,75;D
01/10/2025;08:00 - 08:15;aFRR;STD;DOWN;672;2,42;D
01/10/2025;08:15 - 08:30;RR;SPE0;UP;250;0,03;D
01/10/2025;08:15 - 08:30;mFRR;SPE0;UP;500;0,73;D
01/10/2025;08:15 - 08:30;FCR;STD;UP_DOWN;563;6,1;D
01/10/2025;08:15 - 08:30;aFRR;STD;UP;599;2,75;D
01/10/2025;08:15 - 08:30;aFRR;STD;DOWN;672;2,42;D
01/10/2025;08:30 - 08:45;RR;SPE0;UP;250;0,03;D
01/10/2025;08:30 - 08:45;mFRR;SPE0;UP;500;0,73;D
01/10/2025;08:30 - 08:45;FCR;STD;UP_DOWN;563;6,1;D
01/10/2025;08:30 - 08:45;aFRR;STD;UP;599;2,75;D
01/10/2025;08:30 - 08:45;aFRR;STD;DOWN;672;2,42;D
01/10/2025;08:45 - 09:00;RR;SPE0;UP;250;0,03;D
01/10/2025;08:45 - 09:00;mFRR;SPE0;UP;500;0,73;D
01/10/2025;08:45 - 09:00;FCR;STD;UP_DOWN;563;6,1;D
01/10/2025;08:45 - 09:00;aFRR;STD;UP;599;2,75;D
01/10/2025;08:45 - 09:00;aFRR;STD;DOWN;672;2,42;D
01/10/2025;09:00 - 09:15;RR;SPE0;UP;250;0,03;D
01/10/2025;09:00 - 09:15;mFRR;SPE0;UP;500;0,73;D
01/10/2025;09:00 - 09:15;FCR;STD;UP_DOWN;563;6,1;D
01/10/2025;09:00 - 09:15;aFRR;STD;DOWN;672;2,81;D
01/10/2025;09:00 - 09:15;aFRR;STD;UP;599;2,92;D
01/10/2025;09:15 - 09:30;RR;SPE0;UP;250;0,03;D
01/10/2025;09:15 - 09:30;mFRR;SPE0;UP;500;0,73;D
01/10/2025;09:15 - 09:30;FCR;STD;UP_DOWN;563;6,1;D
