datetime,DE_DA_price,aFRR_capacity_down_price,aFRR_energy_down_price,aFRR_energy_down_quantity,coal_price,natural_gas_price,biomass_price,co2_price,hydrogen_price,iron_ore_price,lime_price,P100000120423_dri_bof_natural_gas_external_steel_demand,P100000120426_dri_bof_natural_gas_external_steel_demand,P100000120428_dri_bof_natural_gas_external_steel_demand,P100000120425_dri_bof_natural_gas_external_steel_demand,P100000120427_dri_bof_natural_gas_external_steel_demand,P100000120422_dri_bof_natural_gas_external_steel_demand,P100000120432_dri_bof_natural_gas_external_steel_demand,P100000120424_dri_bof_natural_gas_external_steel_demand,P100000120421_dri_bof_natural_gas_external_steel_demand
2035-01-02 00:00:00,0.0,22.004,0.0,460.0,163.19640359677092,119.65592667011322,93.9864550201183,466.8752218378805,138.8044702208866,225.0,100.0,33.0644295687325,89.990984809245,29.02934992480925,52.25282989288075,23.2234799483147,116.1173997274615,63.3710709009585,136.43794468894,238.040669468109
2035-01-02 00:15:00,0.0,22.004,0.0,460.0,163.19640359677092,119.65592667011322,93.9864550201183,466.8752218378805,138.8044702208866,225.0,100.0,33.0644295687325,89.990984809245,29.02934992480925,52.25282989288075,23.2234799483147,116.1173997274615,63.3710709009585,136.43794468894,238.040669468109
2035-01-02 00:30:00,0.0,22.004,0.0,460.0,163.19640359677092,119.65592667011322,93.9864550201183,466.8752218378805,138.8044702208866,225.0,100.0,33.0644295687325,89.990984809245,29.02934992480925,52.25282989288075,23.2234799483147,116.1173997274615,63.3710709009585,136.43794468894,238.040669468109
2035-01-02 00:45:00,0.0,22.004,0.0,460.0,163.19640359677092,119.65592667011322,93.9864550201183,466.8752218378805,138.8044702208866,225.0,100.0,33.0644295687325,89.990984809245,29.02934992480925,52.25282989288075,23.2234799483147,116.1173997274615,63.3710709009585,136.43794468894,238.040669468109
2035-01-02 01:00:00,0.0,22.004,0.0,334.46,163.19640359677092,119.65592667011322,93.9864550201183,466.8752218378805,138.8044702208866,225.0,100.0,33.0644295687325,89.990984809245,29.02934992480925,52.25282989288075,23.2234799483147,116.1173997274615,63.3710709009585,136.43794468894,238.040669468109
2035-01-02 01:15:00,0.0,22.004,0.0,334.46,163.19640359677092,119.65592667011322,93.9864550201183,466.8752218378805,138.8044702208866,225.0,100.0,33.0644295687325,89.990984809245,29.02934992480925,52.25282989288075,23.2234799483147,116.1173997274615,63.3710709009585,136.43794468894,238.040669468109
2035-01-02 01:30:00,0.0,22.004,0.0,334.46,163.19640359677092,119.65592667011322,93.9864550201183,466.8752218378805,138.8044702208866,225.0,100.0,33.0644295687325,89.990984809245,29.02934992480925,52.25282989288075,23.2234799483147,116.1173997274615,63.3710709009585,136.43794468894,238.040669468109
2035-01-02 01:45:00,0.0,22.004,0.0,334.46,163.19640359677092,119.65592667011322,93.9864550201183,466.8752218378805,138.8044702208866,225.0,100.0,33.0644295687325,89.990984809245,29.02934992480925,52.25282989288075,23.2234799483147,116.1173997274615,63.3710709009585,136.43794468894,238.040669468109
2035-01-02 02:00:00,0.0,22.004,0.0,160.65,163.19640359677092,119.65592667011322,93.9864550201183,466.8752218378805,138.8044702208866,225.0,100.0,33.0644295687325,89.990984809245,29.02934992480925,52.25282989288075,23.2234799483147,116.1173997274615,63.3710709009585,136.43794468894,238.040669468109
2035-01-02 02:15:00,0.0,22.004,0.0,160.65,163.19640359677092,119.65592667011322,93.9864550201183,466.8752218378805,138.8044702208866,225.0,100.0,33.0644295687325,89.990984809245,29.02934992480925,52.25282989288075,23.2234799483147,116.1173997274615,63.3710709009585,136.43794468894,238.040669468109
