name,unit_type,technology,node,objective,steel_demand,fuel_type,max_power,min_power,ramp_up,ramp_down,min_operating_time,min_down_time,efficiency,lime_co2_factor,specific_dri_demand,specific_electricity_consumption,specific_natural_gas_consumption,specific_hydrogen_consumption,specific_iron_ore_consumption,specific_lime_demand,start_price,max_capacity,min_capacity,initial_soc,storage_loss_rate,efficiency_charge,efficiency_discharge,max_operating_hours,specific_coal_consumption,coal_co2_factor,natural_gas_co2_factor
P100000120423_bf_bof_hybrid_hydrogen_natural_gas_external,steel_plant,bf_bof,Saarland,min_variable_cost,,hybrid_hydrogen_natural_gas,14.610086,0,14.610086,14.610086,0,0,,0.1,,0.1,2.44,2.25,1.4,0.05,5,,,,,,,,,,0.2
P100000120426_bf_bof_hybrid_hydrogen_natural_gas_external,steel_plant,bf_bof,Bremen,min_variable_cost,,hybrid_hydrogen_natural_gas,39.764062,0,39.764062,39.764062,0,0,,0.1,,0.1,2.44,2.25,1.4,0.05,5,,,,,,,,,,0.2
P100000120428_bf_bof_hybrid_hydrogen_natural_gas_external,steel_plant,bf_bof,North Rhine-Westphalia,min_variable_cost,,hybrid_hydrogen_natural_gas,12.827117,0,12.827117,12.827117,0,0,,0.1,,0.1,2.44,2.25,1.4,0.05,5,,,,,,,,,,0.2
P100000120425_bf_bof_hybrid_hydrogen_natural_gas_external,steel_plant,bf_bof,Brandenburg,min_variable_cost,,hybrid_hydrogen_natural_gas,23.08881,0,23.08881,23.08881,0,0,,0.1,,0.1,2.44,2.25,1.4,0.05,5,,,,,,,,,,0.2
P100000120427_bf_bof_hybrid_hydrogen_natural_gas_external,steel_plant,bf_bof,Hamburg,min_variable_cost,,hybrid_hydrogen_natural_gas,10.261693,0,10.261693,10.261693,0,0,,0.1,,0.1,2.44,2.25,1.4,0.05,5,,,,,,,,,,0.2
P100000120422_bf_bof_hybrid_hydrogen_natural_gas_external,steel_plant,bf_bof,North Rhine-Westphalia,min_variable_cost,,hybrid_hydrogen_natural_gas,49.238331,0,49.238331,49.238331,0,0,,0.1,,0.1,2.44,2.25,1.4,0.05,5,,,,,,,,,,0.2
P100000120432_bf_bof_hybrid_hydrogen_natural_gas_external,steel_plant,bf_bof,Saarland,min_variable_cost,,hybrid_hydrogen_natural_gas,28.001596,0,28.001596,28.001596,0,0,,0.1,,0.1,2.44,2.25,1.4,0.05,5,,,,,,,,,,0.2
P100000120424_bf_bof_hybrid_hydrogen_natural_gas_external,steel_plant,bf_bof,Lower Saxony,min_variable_cost,,hybrid_hydrogen_natural_gas,60.287449,0,60.287449,60.287449,0,0,,0.1,,0.1,2.44,2.25,1.4,0.05,5,,,,,,,,,,0.2
P100000120421_bf_bof_hybrid_hydrogen_natural_gas_external,steel_plant,bf_bof,North Rhine-Westphalia,min_variable_cost,,hybrid_hydrogen_natural_gas,105.182358,0,105.182358,105.182358,0,0,,0.1,,0.1,2.44,2.25,1.4,0.05,5,,,,,,,,,,0.2
