name,unit_type,technology,node,bidding_EOM,unit_operator,objective,flexibility_measure,cost_tolerance,demand,fuel_type,uses_power_profile,storage_type,max_power,min_power,ramp_up,ramp_down,min_operating_time,min_down_time,efficiency,max_capacity,min_capacity,max_power_charge,max_power_discharge,initial_soc,efficiency_charge,efficiency_discharge,storage_loss_rate
plant_1,steam_plant,thermal_storage,north,naive_da_dsm,dsm_operator,min_variable_cost,electricity_price_signal,5,,,,short-term_with_generator,4,0,4,4,0,0,0.95,17,0,4,4,0,0.95,1.0,0.001
plant_1,steam_plant,boiler,north,,,,,,,natural_gas,,,4.5,0,4.5,4.5,0,0,0.85,,,,,,,,
