component,unit,plant_1
grid_energy_charge_high,EUR/MWh,36.9
grid_energy_charge_low,EUR/MWh,45.6
grid_capacity_charge_high,EUR/MW.a,66570
grid_capacity_charge_low,EUR/MW.a,44850
chp_surcharge,EUR/MWh,2.77
offshore_grid_levy,EUR/MWh,8.16
special_network_use_a,EUR/MWh,15.58
special_network_use_b,EUR/MWh,0.5
concession_fee,EUR/MWh,1.1
electricity_tax,EUR/MWh,0.5
