component,unit,plant_1
Network consumption price,EUR/MWh,6.9
Metering and operation,EUR/MWh,2
Concession fees,EUR/MWh,1.1
Surcharges and levies,EUR/MWh,1.6
Electricity tax,EUR/MWh,0.5
