datetime,DE_DA_price,aFRR_capacity_down_price,aFRR_energy_down_price,aFRR_energy_down_quantity,coal_price,natural_gas_price,biomass_price,co2_price,hydrogen_price,iron_ore_price,lime_price,P100000120423_dri_bof_hydrogen_electrolyser_steel_demand,P100000120426_dri_bof_hydrogen_electrolyser_steel_demand,P100000120428_dri_bof_hydrogen_electrolyser_steel_demand,P100000120425_dri_bof_hydrogen_electrolyser_steel_demand,P100000120427_dri_bof_hydrogen_electrolyser_steel_demand,P100000120422_dri_bof_hydrogen_electrolyser_steel_demand,P100000120432_dri_bof_hydrogen_electrolyser_steel_demand,P100000120424_dri_bof_hydrogen_electrolyser_steel_demand,P100000120421_dri_bof_hydrogen_electrolyser_steel_demand
2045-01-02 00:00:00,0.0,3.2381,-0.015734,460.0,11.862909546470393,27.153016210646182,39.37292399865341,-0.010222467389325,55.61129809806235,225.0,100.0,33.29201930367925,90.6104124769145,29.22916532514875,52.61249756268825,23.38333224882925,116.91666124414625,63.80726786463625,137.377076951993,239.67915554767725
2045-01-02 00:15:00,0.0,3.2381,-0.015734,460.0,11.862909546470393,27.153016210646182,39.37292399865341,-0.010222467389325,55.61129809806235,225.0,100.0,33.29201930367925,90.6104124769145,29.22916532514875,52.61249756268825,23.38333224882925,116.91666124414625,63.80726786463625,137.377076951993,239.67915554767725
2045-01-02 00:30:00,0.0,3.2381,-0.015734,460.0,11.862909546470393,27.153016210646182,39.37292399865341,-0.010222467389325,55.61129809806235,225.0,100.0,33.29201930367925,90.6104124769145,29.22916532514875,52.61249756268825,23.38333224882925,116.91666124414625,63.80726786463625,137.377076951993,239.67915554767725
2045-01-02 00:45:00,0.0,3.2381,-0.015734,460.0,11.862909546470393,27.153016210646182,39.37292399865341,-0.010222467389325,55.61129809806235,225.0,100.0,33.29201930367925,90.6104124769145,29.22916532514875,52.61249756268825,23.38333224882925,116.91666124414625,63.80726786463625,137.377076951993,239.67915554767725
2045-01-02 01:00:00,0.0,3.2381,-0.015734,334.46,11.862909546470393,27.153016210646182,39.37292399865341,-0.010222467389325,55.61129809806235,225.0,100.0,33.29201930367925,90.6104124769145,29.22916532514875,52.61249756268825,23.38333224882925,116.91666124414625,63.80726786463625,137.377076951993,239.67915554767725
2045-01-02 01:15:00,0.0,3.2381,-0.015734,334.46,11.862909546470393,27.153016210646182,39.37292399865341,-0.010222467389325,55.61129809806235,225.0,100.0,33.29201930367925,90.6104124769145,29.22916532514875,52.61249756268825,23.38333224882925,116.91666124414625,63.80726786463625,137.377076951993,239.67915554767725
2045-01-02 01:30:00,0.0,3.2381,-0.015734,334.46,11.862909546470393,27.153016210646182,39.37292399865341,-0.010222467389325,55.61129809806235,225.0,100.0,33.29201930367925,90.6104124769145,29.22916532514875,52.61249756268825,23.38333224882925,116.91666124414625,63.80726786463625,137.377076951993,239.67915554767725
2045-01-02 01:45:00,0.0,3.2381,-0.015734,334.46,11.862909546470393,27.153016210646182,39.37292399865341,-0.010222467389325,55.61129809806235,225.0,100.0,33.29201930367925,90.6104124769145,29.22916532514875,52.61249756268825,23.38333224882925,116.91666124414625,63.80726786463625,137.377076951993,239.67915554767725
2045-01-02 02:00:00,0.0,3.2381,-0.015734,160.65,11.862909546470393,27.153016210646182,39.37292399865341,-0.010222467389325,55.61129809806235,225.0,100.0,33.29201930367925,90.6104124769145,29.22916532514875,52.61249756268825,23.38333224882925,116.91666124414625,63.80726786463625,137.377076951993,239.67915554767725
2045-01-02 02:15:00,0.0,3.2381,-0.015734,160.65,11.862909546470393,27.153016210646182,39.37292399865341,-0.010222467389325,55.61129809806235,225.0,100.0,33.29201930367925,90.6104124769145,29.22916532514875,52.61249756268825,23.38333224882925,116.91666124414625,63.80726786463625,137.377076951993,239.67915554767725
2045-01-02 02:30:00,0.0,3.2381,-0.015734,160.65,11.862909546470393,27.153016210646182,39.37292399865341,-0.010222467389325,55.61129809806235,225.0,100.0,33.29201930367925,90.6104124769145,29.22916532514875,52.61249756268825,23.38333224882925,116.91666124414625,63.80726786463625,137.377076951993,239.67915554767725
2045-01-02 02:45:00,0.0,3.2381,-0.015734,160.65,11.862909546470393,27.153016210646182,39.37292399865341,-0.010222467389325,55.61129809806235,225.0,100.0,33.29201930367925,90.6104124769145,29.22916532514875,52.61249756268825,23.38333224882925,116.91666124414625,63.80726786463625,137.377076951993,239.67915554767725
2045-01-02 03:00:00,0.0,3.2381,-0.015734,191.52,11.862909546472729,27.153016380297306,39.3729344120358,-0.010222467389325,55.65103902528002,225.0,100.0,33.29201930367925,90.6104124769145,29.22916532514875,52.61249756268825,23.38333224882925,116.91666124414625,63.80726786463625,137.377076951993,239.67915554767725
2045-01-02 03:15:00,0.0,3.2381,-0.015734,191.52,11.862909546472729,27.153016380297306,39.3729344120358,-0.010222467389325,55.65103902528002,225.0,100.0,33.29201930367925,90.6104124769145,29.22916532514875,52.61249756268825,23.38333224882925,116.91666124414625,63.80726786463625,137.377076951993,239.67915554767725
2045-01-02 03:30:00,0.0,3.2381,-0.015734,191.52,11.862909546472729,27.153016380297306,39.3729344120358,-0.010222467389325,55.65103902528002,225.0,100.0,33.29201930367925,90.6104124769145,29.22916532514875,52.61249756268825,23.38333224882925,116.91666124414625,63.80726786463625,137.377076951993,239.67915554767725
2045-01-02 03:45:00,0.0,3.2381,-0.015734,191.52,11.862909546472729,27.153016380297306,39.3729344120358,-0.010222467389325,55.65103902528002,225.0,100.0,33.29201930367925,90.6104124769145,29.22916532514875,52.61249756268825,23.38333224882925,116.91666124414625,63.80726786463625,137.377076951993,239.67915554767725
2045-01-02 04:00:00,0.0,16.174,-0.015734,154.89,11.862909546472729,27.153016380297306,39.3729344120358,-0.010222467389325,55.65103902528002,225.0,100.0,33.29201930367925,90.6104124769145,29.22916532514875,52.61249756268825,23.38333224882925,116.91666124414625,63.80726786463625,137.377076951993,239.67915554767725
2045-01-02 04:15:00,0.0,16.174,-0.015734,154.89,11.862909546472729,27.153016380297306,39.3729344120358,-0.010222467389325,55.65103902528002,225.0,100.0,33.29201930367925,90.6104124769145,29.22916532514875,52.61249756268825,23.38333224882925,116.91666124414625,63.80726786463625,137.377076951993,239.67915554767725
2045-01-02 04:30:00,0.0,16.174,-0.015734,154.89,11.862909546472729,27.153016380297306,39.3729344120358,-0.010222467389325,55.65103902528002,225.0,100.0,33.29201930367925,90.6104124769145,29.22916532514875,52.61249756268825,23.38333224882925,116.91666124414625,63.80726786463625,137.377076951993,239.67915554767725
2045-01-02 04:45:00,0.0,16.174,-0.015734,154.89,11.862909546472729,27.153016380297306,39.3729344120358,-0.010222467389325,55.65103902528002,225.0,100.0,33.29201930367925,90.6104124769145,29.22916532514875,52.61249756268825,23.38333224882925,116.91666124414625,63.80726786463625,137.377076951993,239.67915554767725
2045-01-02 05:00:00,0.0,16.174,-0.015734,177.28,11.862909546472729,27.153016380297306,39.3729344120358,-0.010222467389325,55.65103902528002,225.0,100.0,33.29201930367925,90.6104124769145,29.22916532514875,52.61249756268825,23.38333224882925,116.91666124414625,63.80726786463625,137.377076951993,239.67915554767725
2045-01-02 05:15:00,0.0,16.174,-0.015734,177.28,11.862909546472729,27.153016380297306,39.3729344120358,-0.010222467389325,55.65103902528002,225.0,100.0,33.29201930367925,90.6104124769145,29.22916532514875,52.61249756268825,23.38333224882925,116.91666124414625,63.80726786463625,137.377076951993,239.67915554767725
2045-01-02 05:30:00,0.0,16.174,-0.015734,177.28,11.862909546472729,27.153016380297306,39.3729344120358,-0.010222467389325,55.65103902528002,225.0,100.0,33.29201930367925,90.6104124769145,29.22916532514875,52.61249756268825,23.38333224882925,116.91666124414625,63.80726786463625,137.377076951993,239.67915554767725
2045-01-02 05:45:00,0.0,16.174,-0.015734,177.28,11.862909546472729,27.153016380297306,39.3729344120358,-0.010222467389325,55.65103902528002,225.0,100.0,33.29201930367925,90.6104124769145,29.22916532514875,52.61249756268825,23.38333224882925,116.91666124414625,63.80726786463625,137.377076951993,239.67915554767725
2045-01-02 06:00:00,0.0,16.174,-0.015734,407.64,11.862909546471805,27.15301656803496,39.37294356252851,-0.010222467389325,55.742558632534966,225.0,100.0,33.96637873548525,92.4458068913015,29.82122803967,53.678210448369,23.85698242021755,119.28491210108776,65.0997407696225,140.15977170869925,244.53406980435025
2045-01-02 06:15:00,0.0,16.174,-0.015734,407.64,11.862909546471805,27.15301656803496,39.37294356252851,-0.010222467389325,55.742558632534966,225.0,100.0,33.96637873548525,92.4458068913015,29.82122803967,53.678210448369,23.85698242021755,119.28491210108776,65.0997407696225,140.15977170869925,244.53406980435025
2045-01-02 06:30:00,0.0,16.174,-0.015734,407.64,11.862909546471805,27.15301656803496,39.37294356252851,-0.010222467389325,55.742558632534966,225.0,100.0,33.96637873548525,92.4458068913015,29.82122803967,53.678210448369,23.85698242021755,119.28491210108776,65.0997407696225,140.15977170869925,244.53406980435025
2045-01-02 06:45:00,0.0,16.174,-0.015734,407.64,11.862909546471805,27.15301656803496,39.37294356252851,-0.010222467389325,55.742558632534966,225.0,100.0,33.96637873548525,92.4458068913015,29.82122803967,53.678210448369,23.85698242021755,119.28491210108776,65.0997407696225,140.15977170869925,244.53406980435025
