name,unit_type,technology,node,objective,steel_demand,fuel_type,max_power,min_power,ramp_up,ramp_down,min_operating_time,min_down_time,efficiency,lime_co2_factor,specific_dri_demand,specific_electricity_consumption,specific_natural_gas_consumption,specific_hydrogen_consumption,specific_iron_ore_consumption,specific_lime_demand,start_price,max_capacity,min_capacity,initial_soc,storage_loss_rate,efficiency_charge,efficiency_discharge,max_operating_hours,specific_coal_consumption,coal_co2_factor,natural_gas_co2_factor
P100000120427_dri_bof_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,bof,Hamburg,,,,5.130847,0,5.130847,5.130847,0,0,,0.1,1,0.05,,,,0.05,5,,,,,,,,,,
P100000120427_dri_bof_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,electrolyser,Hamburg,,,,329.840148,0,329.840148,329.840148,1,1,0.7,,,,,,,,,,,,,,,,,,
P100000120422_dri_bof_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,dri_plant,North Rhine-Westphalia,min_variable_cost,,hybrid_hydrogen_natural_gas,44.314498,0,44.314498,44.314498,0,0,,,,0.09,2.44,2.25,1.4,,5,,,,,,,,,,0.2
P100000120422_dri_bof_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,bof,North Rhine-Westphalia,,,,24.619166,0,24.619166,24.619166,0,0,,0.1,1,0.05,,,,0.05,5,,,,,,,,,,
P100000120422_dri_bof_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,electrolyser,North Rhine-Westphalia,,,,1582.660647,0,1582.660647,1582.660647,1,1,0.7,,,,,,,,,,,,,,,,,,
P100000120432_dri_bof_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,dri_plant,Saarland,min_variable_cost,,hybrid_hydrogen_natural_gas,25.201436,0,25.201436,25.201436,0,0,,,,0.09,2.44,2.25,1.4,,5,,,,,,,,,,0.2
P100000120432_dri_bof_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,bof,Saarland,,,,14.000798,0,14.000798,14.000798,0,0,,0.1,1,0.05,,,,0.05,5,,,,,,,,,,
P100000120432_dri_bof_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,electrolyser,Saarland,,,,900.051303,0,900.051303,900.051303,1,1,0.7,,,,,,,,,,,,,,,,,,
P100000120424_dri_bof_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,dri_plant,Lower Saxony,min_variable_cost,,hybrid_hydrogen_natural_gas,54.258704,0,54.258704,54.258704,0,0,,,,0.09,2.44,2.25,1.4,,5,,,,,,,,,,0.2
P100000120424_dri_bof_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,bof,Lower Saxony,,,,30.143725,0,30.143725,30.143725,0,0,,0.1,1,0.05,,,,0.05,5,,,,,,,,,,
P100000120424_dri_bof_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,electrolyser,Lower Saxony,,,,1937.810869,0,1937.810869,1937.810869,1,1,0.7,,,,,,,,,,,,,,,,,,
P100000120421_dri_bof_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,dri_plant,North Rhine-Westphalia,min_variable_cost,,hybrid_hydrogen_natural_gas,94.664122,0,94.664122,94.664122,0,0,,,,0.09,2.44,2.25,1.4,,5,,,,,,,,,,0.2
P100000120421_dri_bof_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,bof,North Rhine-Westphalia,,,,52.591179,0,52.591179,52.591179,0,0,,0.1,1,0.05,,,,0.05,5,,,,,,,,,,
P100000120421_dri_bof_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,electrolyser,North Rhine-Westphalia,,,,3380.861516,0,3380.861516,3380.861516,1,1,0.7,,,,,,,,,,,,,,,,,,
