datetime,plant_name,plant_type,steel_route,steel_demand_mode,steel_demand_total_t,total_electricity_consumption_MWh,variable_cost_EUR,coal_consumption_MWh,co2_emissions_t,dri_electricity_consumption_MWh,dri_output_t,dri_coal_consumption_MWh,hydrogen_consumption_MWh,natural_gas_consumption_MWh,iron_ore_consumption_t,dri_co2_emissions_t,dri_operational_status,eaf_electricity_consumption_MWh,dri_input_t,steel_output_t,lime_consumption_t,eaf_co2_emissions_t,eaf_operational_status,bof_electricity_consumption_MWh,bof_dri_input_t,bof_steel_output_t,bof_lime_consumption_t,bof_co2_emissions_t,bof_operational_status,bf_bof_electricity_consumption_MWh,bf_bof_steel_output_t,bf_bof_coal_consumption_MWh,bf_bof_natural_gas_consumption_MWh,bf_bof_hydrogen_consumption_MWh,bf_bof_iron_ore_consumption_t,bf_bof_lime_consumption_t,bf_bof_co2_emissions_t,bf_bof_operational_status,solver,rolling_window,steel_horizon_target_t,steel_committed_output_t,cumulative_steel_output_t,remaining_steel_demand_t,steel_demand_balance_t
2030-01-02 00:00:00,P100000120423_dri_eaf_coal_external,steel_plant,dri_eaf,forecast_profile,1291772.3672123998,20.178341083333333,24825.57742630402,199.49907033333335,0.19036170833333335,3.42651075,38.07234166666667,199.49907033333335,0.0,0.0,53.30127833333332,0.0,1,16.751830333333334,38.07234166666667,38.07234166666667,1.9036170833333335,0.19036170833333335,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,highs,1,7137.68364864,3654.9447999999998,38.07234166666667,1291734.2948707333,-1.4085629366666694
2030-01-02 00:15:00,P100000120423_dri_eaf_coal_external,steel_plant,dri_eaf,forecast_profile,1291772.3672123998,20.178341083333333,24825.57742630402,199.49907033333335,0.19036170833333335,3.42651075,38.07234166666667,199.49907033333335,0.0,0.0,53.30127833333332,0.0,1,16.751830333333334,38.07234166666667,38.07234166666667,1.9036170833333335,0.19036170833333335,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,highs,1,7137.68364864,3654.9447999999998,76.14468333333333,1291696.2225290665,-2.817125873333339
2030-01-02 00:30:00,P100000120423_dri_eaf_coal_external,steel_plant,dri_eaf,forecast_profile,1291772.3672123998,20.178341083333333,24825.57742630402,199.49907033333335,0.19036170833333335,3.42651075,38.07234166666667,199.49907033333335,0.0,0.0,53.30127833333332,0.0,1,16.751830333333334,38.07234166666667,38.07234166666667,1.9036170833333335,0.19036170833333335,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,highs,1,7137.68364864,3654.9447999999998,114.217025,1291658.1501874,-4.225688810000008
2030-01-02 00:45:00,P100000120423_dri_eaf_coal_external,steel_plant,dri_eaf,forecast_profile,1291772.3672123998,20.178341083333333,24825.57742630402,199.49907033333335,0.19036170833333335,3.42651075,38.07234166666667,199.49907033333335,0.0,0.0,53.30127833333332,0.0,1,16.751830333333334,38.07234166666667,38.07234166666667,1.9036170833333335,0.19036170833333335,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,highs,1,7137.68364864,3654.9447999999998,152.28936666666667,1291620.0778457331,-5.634251746666678
2030-01-02 01:00:00,P100000120423_dri_eaf_coal_external,steel_plant,dri_eaf,forecast_profile,1291772.3672123998,20.178341083333333,24825.57742630402,199.49907033333335,0.19036170833333335,3.42651075,38.07234166666667,199.49907033333335,0.0,0.0,53.30127833333332,0.0,1,16.751830333333334,38.07234166666667,38.07234166666667,1.9036170833333335,0.19036170833333335,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,highs,1,7137.68364864,3654.9447999999998,190.36170833333333,1291582.0055040666,-7.042814683333347
2030-01-02 01:15:00,P100000120423_dri_eaf_coal_external,steel_plant,dri_eaf,forecast_profile,1291772.3672123998,20.178341083333333,24825.57742630402,199.49907033333335,0.19036170833333335,3.42651075,38.07234166666667,199.49907033333335,0.0,0.0,53.30127833333332,0.0,1,16.751830333333334,38.07234166666667,38.07234166666667,1.9036170833333335,0.19036170833333335,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,highs,1,7137.68364864,3654.9447999999998,228.43404999999998,1291543.9331623998,-8.451377620000017
2030-01-02 01:30:00,P100000120423_dri_eaf_coal_external,steel_plant,dri_eaf,forecast_profile,1291772.3672123998,20.178341083333333,24825.57742630402,199.49907033333335,0.19036170833333335,3.42651075,38.07234166666667,199.49907033333335,0.0,0.0,53.30127833333332,0.0,1,16.751830333333334,38.07234166666667,38.07234166666667,1.9036170833333335,0.19036170833333335,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,highs,1,7137.68364864,3654.9447999999998,266.5063916666667,1291505.8608207332,-9.859940556666686
2030-01-02 01:45:00,P100000120423_dri_eaf_coal_external,steel_plant,dri_eaf,forecast_profile,1291772.3672123998,20.178341083333333,24825.57742630402,199.49907033333335,0.19036170833333335,3.42651075,38.07234166666667,199.49907033333335,0.0,0.0,53.30127833333332,0.0,1,16.751830333333334,38.07234166666667,38.07234166666667,1.9036170833333335,0.19036170833333335,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,highs,1,7137.68364864,3654.9447999999998,304.57873333333333,1291467.7884790665,-11.268503493333355
2030-01-02 02:00:00,P100000120423_dri_eaf_coal_external,steel_plant,dri_eaf,forecast_profile,1291772.3672123998,20.178341083333333,24825.57742630402,199.49907033333335,0.19036170833333335,3.42651075,38.07234166666667,199.49907033333335,0.0,0.0,53.30127833333332,0.0,1,16.751830333333334,38.07234166666667,38.07234166666667,1.9036170833333335,0.19036170833333335,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,highs,1,7137.68364864,3654.9447999999998,342.651075,1291429.7161374,-12.677066430000025
2030-01-02 02:15:00,P100000120423_dri_eaf_coal_external,steel_plant,dri_eaf,forecast_profile,1291772.3672123998,20.178341083333333,24825.57742630402,199.49907033333335,0.19036170833333335,3.42651075,38.07234166666667,199.49907033333335,0.0,0.0,53.30127833333332,0.0,1,16.751830333333334,38.07234166666667,38.07234166666667,1.9036170833333335,0.19036170833333335,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,highs,1,7137.68364864,3654.9447999999998,380.72341666666665,1291391.643795733,-14.085629366666694
