Hour;T2
1;23,12144319
2;23,12144319
3;23,12144319
4;23,12144319
5;23,12144319
6;23,12144319
7;23,12144319
8;94,51765716
9;105,4618069
10;116,4059567
11;116,4059567
12;139,289179
13;139,289179
14;92,52781175
15;139,289179
16;139,289179
17;82,08112332
18;35,03248968
19;23,12144319
20;23,12144319
21;23,12144319
22;23,12144319
23;23,12144319
24;23,12144319
25;23,3493481
26;23,3493481
27;23,3493481
28;23,3493481
29;23,3493481
30;23,3493481
31;23,3493481
32;95,44930482
33;106,5013296
34;117,5533544
35;117,5533544
36;140,6621334
37;140,6621334
38;93,43984578
39;140,6621334
40;140,6621334
41;82,89018577
42;35,37780016
43;23,3493481
44;23,3493481
45;23,3493481
46;23,3493481
47;23,3493481
48;23,3493481
49;35,26878585
50;21,37502173
51;21,37502173
52;21,37502173
53;21,37502173
54;21,37502173
55;21,37502173
56;91,05759255
57;113,8219907
58;125,2041898
59;125,2041898
60;147,9685879
61;147,9685879
62;102,4397916
63;147,9685879
64;113,8219907
65;53,43755432
66;35,26878585
67;22,44377281
68;21,37502173
69;21,37502173
70;21,37502173
71;21,37502173
72;21,37502173
73;37,97593534
74;34,17834181
75;34,17834181
76;34,17834181
77;34,17834181
78;34,17834181
79;34,17834181
80;34,17834181
81;34,17834181
82;34,17834181
83;34,17834181
84;34,17834181
85;34,17834181
86;34,17834181
87;34,17834181
88;34,17834181
89;34,17834181
90;34,17834181
91;34,17834181
92;34,17834181
93;34,17834181
94;34,17834181
95;34,17834181
96;34,17834181
97;31,7639486
98;31,7639486
99;31,7639486
100;31,7639486
101;31,7639486
102;31,7639486
103;31,7639486
104;31,7639486
105;31,7639486
106;31,7639486
107;31,7639486
108;31,7639486
109;31,7639486
110;31,7639486
111;31,7639486
112;31,7639486
113;31,7639486
114;31,7639486
115;31,7639486
116;31,7639486
117;31,7639486
118;31,7639486
119;31,7639486
120;31,7639486
121;21,6870447
122;21,6870447
123;21,6870447
124;21,6870447
125;21,6870447
126;21,6870447
127;21,6870447
128;92,3868104
129;103,9351617
130;115,483513
131;115,483513
132;138,5802156
133;138,5802156
134;92,3868104
135;138,5802156
136;138,5802156
137;80,8384591
138;23,0967026
139;22,77139693
140;22,77139693
141;22,77139693
142;22,77139693
143;22,77139693
144;22,77139693
145;14,56676416
146;22,19697396
147;22,19697396
148;22,19697396
149;22,19697396
150;22,19697396
151;22,19697396
152;93,57411835
153;104,4090163
154;115,2439142
155;115,2439142
156;137,8987007
157;137,8987007
158;91,60413691
159;137,8987007
160;137,8987007
161;81,26173435
162;34,68277181
163;22,8906294
164;22,8906294
165;22,8906294
166;22,8906294
167;22,8906294
168;22,8906294
169;23,3493481
170;23,3493481
171;23,3493481
172;23,3493481
173;23,3493481
174;23,3493481
175;23,3493481
176;95,44930482
177;106,5013296
178;117,5533544
179;117,5533544
180;140,6621334
181;140,6621334
182;93,43984578
183;140,6621334
184;140,6621334
185;82,89018577
186;35,37780016
187;23,3493481
188;23,3493481
189;23,3493481
190;23,3493481
191;23,3493481
192;23,3493481
193;23,41446379
194;23,41446379
195;23,41446379
196;23,41446379
197;23,41446379
198;23,41446379
199;23,41446379
200;95,71548987
201;106,7983361
202;117,8811823
203;117,8811823
204;141,0544061
205;141,0544061
206;93,70042693
207;141,0544061
208;141,0544061
209;83,12134647
210;35,47646029
211;23,41446379
212;23,41446379
213;23,41446379
214;23,41446379
215;23,41446379
216;23,41446379
217;35,26878585
218;21,37502173
219;21,37502173
220;21,37502173
221;21,37502173
222;21,37502173
223;21,37502173
224;91,05759255
225;113,8219907
226;125,2041898
227;125,2041898
228;147,9685879
229;147,9685879
230;102,4397916
231;147,9685879
232;113,8219907
233;53,43755432
234;35,26878585
235;22,44377281
236;21,37502173
237;21,37502173
238;21,37502173
239;21,37502173
240;21,37502173
241;39,1022003
242;35,19198027
243;35,19198027
244;35,19198027
245;35,19198027
246;35,19198027
247;35,19198027
248;35,19198027
249;35,19198027
250;35,19198027
251;35,19198027
252;35,19198027
253;35,19198027
254;35,19198027
255;35,19198027
256;35,19198027
257;35,19198027
258;35,19198027
259;35,19198027
260;35,19198027
261;35,19198027
262;35,19198027
263;35,19198027
264;35,19198027
265;32,83587621
266;32,83587621
267;32,83587621
268;32,83587621
269;32,83587621
270;32,83587621
271;32,83587621
272;32,83587621
273;32,83587621
274;32,83587621
275;32,83587621
276;32,83587621
277;32,83587621
278;32,83587621
279;32,83587621
280;32,83587621
281;32,83587621
282;32,83587621
283;32,83587621
284;32,83587621
285;32,83587621
286;32,83587621
287;32,83587621
288;32,83587621
289;22,0150848
290;22,0150848
291;22,0150848
292;22,0150848
293;22,0150848
294;22,0150848
295;22,0150848
296;93,78426123
297;105,5072939
298;117,2303265
299;117,2303265
300;140,6763918
301;140,6763918
302;93,78426123
303;140,6763918
304;140,6763918
305;82,06122858
306;23,44606531
307;23,11583904
308;23,11583904
309;23,11583904
310;23,11583904
311;23,11583904
312;23,11583904
313;14,63989415
314;22,30841014
315;22,30841014
316;22,30841014
317;22,30841014
318;22,30841014
319;22,30841014
320;94,04389149
321;104,9331842
322;115,8224769
323;115,8224769
324;138,590998
325;138,590998
326;92,06402009
327;138,590998
328;138,590998
329;81,66969524
330;34,85689084
331;23,00554796
332;23,00554796
333;23,00554796
334;23,00554796
335;23,00554796
336;23,00554796
337;23,26795349
338;23,26795349
339;23,26795349
340;23,26795349
341;23,26795349
342;23,26795349
343;23,26795349
344;95,11657352
345;106,1300715
346;117,1435695
347;117,1435695
348;140,1717926
349;140,1717926
350;93,11411934
351;140,1717926
352;140,1717926
353;82,6012349
354;35,25447499
