datetime,DE_DA_price,aFRR_capacity_down_price,aFRR_energy_down_price,aFRR_energy_down_quantity,coal_price,natural_gas_price,biomass_price,co2_price,hydrogen_price,iron_ore_price,lime_price,P100000120423_dri_bof_hydrogen_external_steel_demand,P100000120426_dri_bof_hydrogen_external_steel_demand,P100000120428_dri_bof_hydrogen_external_steel_demand,P100000120425_dri_bof_hydrogen_external_steel_demand,P100000120427_dri_bof_hydrogen_external_steel_demand,P100000120422_dri_bof_hydrogen_external_steel_demand,P100000120432_dri_bof_hydrogen_external_steel_demand,P100000120424_dri_bof_hydrogen_external_steel_demand,P100000120421_dri_bof_hydrogen_external_steel_demand
2030-01-01 00:00:00,10.016,14.946,0.0,0.0,36.93579358578525,42.10626959261668,62.37840970804054,-0.0101540764772602,56.87314364361061,225.0,100.0,35.17389113794525,95.73227614207575,30.8813794125055,55.58648293122025,24.7051035187148,118.54164713260624,67.41405121716726,145.1424831795055,253.2273110809375
2030-01-01 00:15:00,10.016,14.946,0.0,0.0,36.93579358578525,42.10626959261668,62.37840970804054,-0.0101540764772602,56.87314364361061,225.0,100.0,35.17389113794525,95.73227614207575,30.8813794125055,55.58648293122025,24.7051035187148,118.54164713260624,67.41405121716726,145.1424831795055,253.2273110809375
2030-01-01 00:30:00,10.016,14.946,0.0,0.0,36.93579358578525,42.10626959261668,62.37840970804054,-0.0101540764772602,56.87314364361061,225.0,100.0,35.17389113794525,95.73227614207575,30.8813794125055,55.58648293122025,24.7051035187148,118.54164713260624,67.41405121716726,145.1424831795055,253.2273110809375
2030-01-01 00:45:00,10.016,14.946,0.0,0.0,36.93579358578525,42.10626959261668,62.37840970804054,-0.0101540764772602,56.87314364361061,225.0,100.0,35.17389113794525,95.73227614207575,30.8813794125055,55.58648293122025,24.7051035187148,118.54164713260624,67.41405121716726,145.1424831795055,253.2273110809375
2030-01-01 01:00:00,0.0,14.946,0.0,0.0,36.93579358578525,42.10626959261668,62.37840970804054,-0.0101540764772602,56.87314364361061,225.0,100.0,35.17389113794525,95.73227614207575,30.8813794125055,55.58648293122025,24.7051035187148,118.54164713260624,67.41405121716726,145.1424831795055,253.2273110809375
2030-01-01 01:15:00,0.0,14.946,0.0,0.0,36.93579358578525,42.10626959261668,62.37840970804054,-0.0101540764772602,56.87314364361061,225.0,100.0,35.17389113794525,95.73227614207575,30.8813794125055,55.58648293122025,24.7051035187148,118.54164713260624,67.41405121716726,145.1424831795055,253.2273110809375
2030-01-01 01:30:00,0.0,14.946,0.0,0.0,36.93579358578525,42.10626959261668,62.37840970804054,-0.0101540764772602,56.87314364361061,225.0,100.0,35.17389113794525,95.73227614207575,30.8813794125055,55.58648293122025,24.7051035187148,118.54164713260624,67.41405121716726,145.1424831795055,253.2273110809375
2030-01-01 01:45:00,0.0,14.946,0.0,0.0,36.93579358578525,42.10626959261668,62.37840970804054,-0.0101540764772602,56.87314364361061,225.0,100.0,35.17389113794525,95.73227614207575,30.8813794125055,55.58648293122025,24.7051035187148,118.54164713260624,67.41405121716726,145.1424831795055,253.2273110809375
2030-01-01 02:00:00,10.016,14.946,-0.01658,3.453,36.93579358578525,42.10626959261668,62.37840970804054,-0.0101540764772602,56.87314364361061,225.0,100.0,35.17389113794525,95.73227614207575,30.8813794125055,55.58648293122025,24.7051035187148,118.54164713260624,67.41405121716726,145.1424831795055,253.2273110809375
2030-01-01 02:15:00,10.016,14.946,-0.01658,3.453,36.93579358578525,42.10626959261668,62.37840970804054,-0.0101540764772602,56.87314364361061,225.0,100.0,35.17389113794525,95.73227614207575,30.8813794125055,55.58648293122025,24.7051035187148,118.54164713260624,67.41405121716726,145.1424831795055,253.2273110809375
2030-01-01 02:30:00,10.016,14.946,-0.01658,3.453,36.93579358578525,42.10626959261668,62.37840970804054,-0.0101540764772602,56.87314364361061,225.0,100.0,35.17389113794525,95.73227614207575,30.8813794125055,55.58648293122025,24.7051035187148,118.54164713260624,67.41405121716726,145.1424831795055,253.2273110809375
2030-01-01 02:45:00,10.016,14.946,-0.01658,3.453,36.93579358578525,42.10626959261668,62.37840970804054,-0.0101540764772602,56.87314364361061,225.0,100.0,35.17389113794525,95.73227614207575,30.8813794125055,55.58648293122025,24.7051035187148,118.54164713260624,67.41405121716726,145.1424831795055,253.2273110809375
2030-01-01 03:00:00,0.0,14.946,-0.01658,18.417,36.93579357903131,42.1062696890456,62.37849456204322,-0.0101540764772602,56.96871490029653,225.0,100.0,35.17389113794525,95.73227614207575,30.8813794125055,55.58648293122025,24.7051035187148,118.54164713260624,67.41405121716726,145.1424831795055,253.2273110809375
2030-01-01 03:15:00,0.0,14.946,-0.01658,18.417,36.93579357903131,42.1062696890456,62.37849456204322,-0.0101540764772602,56.96871490029653,225.0,100.0,35.17389113794525,95.73227614207575,30.8813794125055,55.58648293122025,24.7051035187148,118.54164713260624,67.41405121716726,145.1424831795055,253.2273110809375
2030-01-01 03:30:00,0.0,14.946,-0.01658,18.417,36.93579357903131,42.1062696890456,62.37849456204322,-0.0101540764772602,56.96871490029653,225.0,100.0,35.17389113794525,95.73227614207575,30.8813794125055,55.58648293122025,24.7051035187148,118.54164713260624,67.41405121716726,145.1424831795055,253.2273110809375
2030-01-01 03:45:00,0.0,14.946,-0.01658,18.417,36.93579357903131,42.1062696890456,62.37849456204322,-0.0101540764772602,56.96871490029653,225.0,100.0,35.17389113794525,95.73227614207575,30.8813794125055,55.58648293122025,24.7051035187148,118.54164713260624,67.41405121716726,145.1424831795055,253.2273110809375
2030-01-01 04:00:00,0.0,34.776,-0.01658,5.865,36.93579357903131,42.1062696890456,62.37849456204322,-0.0101540764772602,56.96871490029653,225.0,100.0,35.17389113794525,95.73227614207575,30.8813794125055,55.58648293122025,24.7051035187148,118.54164713260624,67.41405121716726,145.1424831795055,253.2273110809375
2030-01-01 04:15:00,0.0,34.776,-0.01658,5.865,36.93579357903131,42.1062696890456,62.37849456204322,-0.0101540764772602,56.96871490029653,225.0,100.0,35.17389113794525,95.73227614207575,30.8813794125055,55.58648293122025,24.7051035187148,118.54164713260624,67.41405121716726,145.1424831795055,253.2273110809375
2030-01-01 04:30:00,0.0,34.776,-0.01658,5.865,36.93579357903131,42.1062696890456,62.37849456204322,-0.0101540764772602,56.96871490029653,225.0,100.0,35.17389113794525,95.73227614207575,30.8813794125055,55.58648293122025,24.7051035187148,118.54164713260624,67.41405121716726,145.1424831795055,253.2273110809375
2030-01-01 04:45:00,0.0,34.776,-0.01658,5.865,36.93579357903131,42.1062696890456,62.37849456204322,-0.0101540764772602,56.96871490029653,225.0,100.0,35.17389113794525,95.73227614207575,30.8813794125055,55.58648293122025,24.7051035187148,118.54164713260624,67.41405121716726,145.1424831795055,253.2273110809375
2030-01-01 05:00:00,0.0,34.776,-0.01658,2.713,36.93579357903131,42.1062696890456,62.37849456204322,-0.0101540764772602,56.96871490029653,225.0,100.0,35.17389113794525,95.73227614207575,30.8813794125055,55.58648293122025,24.7051035187148,118.54164713260624,67.41405121716726,145.1424831795055,253.2273110809375
