datetime,DE_DA_price,aFRR_capacity_down_price,aFRR_energy_down_price,aFRR_energy_down_quantity,coal_price,natural_gas_price,biomass_price,co2_price,hydrogen_price,iron_ore_price,lime_price,P100000120423_bf_bof_natural_gas_external_steel_demand,P100000120426_bf_bof_natural_gas_external_steel_demand,P100000120428_bf_bof_natural_gas_external_steel_demand,P100000120425_bf_bof_natural_gas_external_steel_demand,P100000120427_bf_bof_natural_gas_external_steel_demand,P100000120422_bf_bof_natural_gas_external_steel_demand,P100000120432_bf_bof_natural_gas_external_steel_demand,P100000120424_bf_bof_natural_gas_external_steel_demand,P100000120421_bf_bof_natural_gas_external_steel_demand
2035-01-02 00:00:00,0.0,5.2325,-0.01563,460.0,26.463476786955805,35.7490759200501,67.93414174136161,-0.0095724061128709,47.05017556611863,225.0,100.0,34.0098435052325,92.56410437691,29.85938851596425,53.746899317446,23.887510807126624,118.54164924473375,65.18304512289875,140.3391259798735,244.8469857575245
2035-01-02 00:15:00,0.0,5.2325,-0.01563,460.0,26.463476786955805,35.7490759200501,67.93414174136161,-0.0095724061128709,47.05017556611863,225.0,100.0,34.0098435052325,92.56410437691,29.85938851596425,53.746899317446,23.887510807126624,118.54164924473375,65.18304512289875,140.3391259798735,244.8469857575245
2035-01-02 00:30:00,0.0,5.2325,-0.01563,460.0,26.463476786955805,35.7490759200501,67.93414174136161,-0.0095724061128709,47.05017556611863,225.0,100.0,34.0098435052325,92.56410437691,29.85938851596425,53.746899317446,23.887510807126624,118.54164924473375,65.18304512289875,140.3391259798735,244.8469857575245
2035-01-02 00:45:00,0.0,5.2325,-0.01563,460.0,26.463476786955805,35.7490759200501,67.93414174136161,-0.0095724061128709,47.05017556611863,225.0,100.0,34.0098435052325,92.56410437691,29.85938851596425,53.746899317446,23.887510807126624,118.54164924473375,65.18304512289875,140.3391259798735,244.8469857575245
2035-01-02 01:00:00,0.0,5.2325,-0.01563,334.46,26.463476786955805,35.7490759200501,67.93414174136161,-0.0095724061128709,47.05017556611863,225.0,100.0,34.0098435052325,92.56410437691,29.85938851596425,53.746899317446,23.887510807126624,118.54164924473375,65.18304512289875,140.3391259798735,244.8469857575245
2035-01-02 01:15:00,0.0,5.2325,-0.01563,334.46,26.463476786955805,35.7490759200501,67.93414174136161,-0.0095724061128709,47.05017556611863,225.0,100.0,34.0098435052325,92.56410437691,29.85938851596425,53.746899317446,23.887510807126624,118.54164924473375,65.18304512289875,140.3391259798735,244.8469857575245
2035-01-02 01:30:00,0.0,5.2325,-0.01563,334.46,26.463476786955805,35.7490759200501,67.93414174136161,-0.0095724061128709,47.05017556611863,225.0,100.0,34.0098435052325,92.56410437691,29.85938851596425,53.746899317446,23.887510807126624,118.54164924473375,65.18304512289875,140.3391259798735,244.8469857575245
2035-01-02 01:45:00,0.0,5.2325,-0.01563,334.46,26.463476786955805,35.7490759200501,67.93414174136161,-0.0095724061128709,47.05017556611863,225.0,100.0,34.0098435052325,92.56410437691,29.85938851596425,53.746899317446,23.887510807126624,118.54164924473375,65.18304512289875,140.3391259798735,244.8469857575245
2035-01-02 02:00:00,0.0,5.2325,-0.01563,160.65,26.463476786955805,35.7490759200501,67.93414174136161,-0.0095724061128709,47.05017556611863,225.0,100.0,34.0098435052325,92.56410437691,29.85938851596425,53.746899317446,23.887510807126624,118.54164924473375,65.18304512289875,140.3391259798735,244.8469857575245
2035-01-02 02:15:00,0.0,5.2325,-0.01563,160.65,26.463476786955805,35.7490759200501,67.93414174136161,-0.0095724061128709,47.05017556611863,225.0,100.0,34.0098435052325,92.56410437691,29.85938851596425,53.746899317446,23.887510807126624,118.54164924473375,65.18304512289875,140.3391259798735,244.8469857575245
2035-01-02 02:30:00,0.0,5.2325,-0.01563,160.65,26.463476786955805,35.7490759200501,67.93414174136161,-0.0095724061128709,47.05017556611863,225.0,100.0,34.0098435052325,92.56410437691,29.85938851596425,53.746899317446,23.887510807126624,118.54164924473375,65.18304512289875,140.3391259798735,244.8469857575245
