name,unit_type,technology,node,bidding_EOM,unit_operator,objective,flexibility_measure,cost_tolerance,demand,fuel_type,uses_power_profile,storage_type,max_power,min_power,ramp_up,ramp_down,min_operating_time,min_down_time,efficiency,max_capacity,min_capacity,max_power_charge,max_power_discharge,initial_soc,efficiency_charge,efficiency_discharge,storage_loss_rate,gas_emissions_factor_kg_per_mwh,storage_cost_EUR_per_MWh,charge_cost_EUR_per_MW,opex_percent_of_capex,wacc,depreciation_years
plant_1,steam_plant,thermal_storage,north,naive_da_dsm,dsm_operator,min_variable_cost,electricity_price_signal,5,,,,short-term_with_generator,10,0,10,10,0,0,,0,0,10,10,0,0.98,0.97,0.00025,,20000,200000,0.02,0.08,15
plant_1,steam_plant,boiler,north,,,,,,,natural_gas,,,10,0,10,10,0,0,0.85,,,,,,,,,201,0,0,0,,
