datetime,DE_DA_price,aFRR_capacity_down_price,aFRR_energy_down_price,aFRR_energy_down_quantity,coal_price,natural_gas_price,biomass_price,co2_price,hydrogen_price,iron_ore_price,lime_price,P100000120423_bf_bof_hydrogen_external_steel_demand,P100000120426_bf_bof_hydrogen_external_steel_demand,P100000120428_bf_bof_hydrogen_external_steel_demand,P100000120425_bf_bof_hydrogen_external_steel_demand,P100000120427_bf_bof_hydrogen_external_steel_demand,P100000120422_bf_bof_hydrogen_external_steel_demand,P100000120432_bf_bof_hydrogen_external_steel_demand,P100000120424_bf_bof_hydrogen_external_steel_demand,P100000120421_bf_bof_hydrogen_external_steel_demand
2045-01-01 00:00:00,0.0,6.3534,0.0,0.0,11.862909546479724,27.153016465071826,39.37266641359832,-0.010222467389325,55.60303175493344,225.0,100.0,33.0343877223795,89.9092202892095,29.0029742967795,52.205353711798,23.202379426221075,116.01189713110524,63.3134928500165,136.3139791192465,237.82438911596526
2045-01-01 00:15:00,0.0,6.3534,0.0,0.0,11.862909546479724,27.153016465071826,39.37266641359832,-0.010222467389325,55.60303175493344,225.0,100.0,33.0343877223795,89.9092202892095,29.0029742967795,52.205353711798,23.202379426221075,116.01189713110524,63.3134928500165,136.3139791192465,237.82438911596526
2045-01-01 00:30:00,0.0,6.3534,0.0,0.0,11.862909546479724,27.153016465071826,39.37266641359832,-0.010222467389325,55.60303175493344,225.0,100.0,33.0343877223795,89.9092202892095,29.0029742967795,52.205353711798,23.202379426221075,116.01189713110524,63.3134928500165,136.3139791192465,237.82438911596526
2045-01-01 00:45:00,0.0,6.3534,0.0,0.0,11.862909546479724,27.153016465071826,39.37266641359832,-0.010222467389325,55.60303175493344,225.0,100.0,33.0343877223795,89.9092202892095,29.0029742967795,52.205353711798,23.202379426221075,116.01189713110524,63.3134928500165,136.3139791192465,237.82438911596526
2045-01-01 01:00:00,0.0,6.3534,0.0,0.0,11.862909546479724,27.153016465071826,39.37266641359832,-0.010222467389325,55.60303175493344,225.0,100.0,33.0343877223795,89.9092202892095,29.0029742967795,52.205353711798,23.202379426221075,116.01189713110524,63.3134928500165,136.3139791192465,237.82438911596526
2045-01-01 01:15:00,0.0,6.3534,0.0,0.0,11.862909546479724,27.153016465071826,39.37266641359832,-0.010222467389325,55.60303175493344,225.0,100.0,33.0343877223795,89.9092202892095,29.0029742967795,52.205353711798,23.202379426221075,116.01189713110524,63.3134928500165,136.3139791192465,237.82438911596526
2045-01-01 01:30:00,0.0,6.3534,0.0,0.0,11.862909546479724,27.153016465071826,39.37266641359832,-0.010222467389325,55.60303175493344,225.0,100.0,33.0343877223795,89.9092202892095,29.0029742967795,52.205353711798,23.202379426221075,116.01189713110524,63.3134928500165,136.3139791192465,237.82438911596526
2045-01-01 01:45:00,0.0,6.3534,0.0,0.0,11.862909546479724,27.153016465071826,39.37266641359832,-0.010222467389325,55.60303175493344,225.0,100.0,33.0343877223795,89.9092202892095,29.0029742967795,52.205353711798,23.202379426221075,116.01189713110524,63.3134928500165,136.3139791192465,237.82438911596526
2045-01-01 02:00:00,0.0,6.3534,-0.015734,3.453,11.862909546479724,27.153016465071826,39.37266641359832,-0.010222467389325,55.60303175493344,225.0,100.0,33.0343877223795,89.9092202892095,29.0029742967795,52.205353711798,23.202379426221075,116.01189713110524,63.3134928500165,136.3139791192465,237.82438911596526
2045-01-01 02:15:00,0.0,6.3534,-0.015734,3.453,11.862909546479724,27.153016465071826,39.37266641359832,-0.010222467389325,55.60303175493344,225.0,100.0,33.0343877223795,89.9092202892095,29.0029742967795,52.205353711798,23.202379426221075,116.01189713110524,63.3134928500165,136.3139791192465,237.82438911596526
2045-01-01 02:30:00,0.0,6.3534,-0.015734,3.453,11.862909546479724,27.153016465071826,39.37266641359832,-0.010222467389325,55.60303175493344,225.0,100.0,33.0343877223795,89.9092202892095,29.0029742967795,52.205353711798,23.202379426221075,116.01189713110524,63.3134928500165,136.3139791192465,237.82438911596526
2045-01-01 02:45:00,0.0,6.3534,-0.015734,3.453,11.862909546479724,27.153016465071826,39.37266641359832,-0.010222467389325,55.60303175493344,225.0,100.0,33.0343877223795,89.9092202892095,29.0029742967795,52.205353711798,23.202379426221075,116.01189713110524,63.3134928500165,136.3139791192465,237.82438911596526
2045-01-01 03:00:00,0.0,6.3534,-0.015734,18.417,11.862909546477944,27.15301654213531,39.37277056108227,-0.010222467389325,55.63836123634028,225.0,100.0,33.0343877223795,89.9092202892095,29.0029742967795,52.205353711798,23.202379426221075,116.01189713110524,63.3134928500165,136.3139791192465,237.82438911596526
2045-01-01 03:15:00,0.0,6.3534,-0.015734,18.417,11.862909546477944,27.15301654213531,39.37277056108227,-0.010222467389325,55.63836123634028,225.0,100.0,33.0343877223795,89.9092202892095,29.0029742967795,52.205353711798,23.202379426221075,116.01189713110524,63.3134928500165,136.3139791192465,237.82438911596526
2045-01-01 03:30:00,0.0,6.3534,-0.015734,18.417,11.862909546477944,27.15301654213531,39.37277056108227,-0.010222467389325,55.63836123634028,225.0,100.0,33.0343877223795,89.9092202892095,29.0029742967795,52.205353711798,23.202379426221075,116.01189713110524,63.3134928500165,136.3139791192465,237.82438911596526
2045-01-01 03:45:00,0.0,6.3534,-0.015734,18.417,11.862909546477944,27.15301654213531,39.37277056108227,-0.010222467389325,55.63836123634028,225.0,100.0,33.0343877223795,89.9092202892095,29.0029742967795,52.205353711798,23.202379426221075,116.01189713110524,63.3134928500165,136.3139791192465,237.82438911596526
2045-01-01 04:00:00,0.0,11.948,-0.015734,5.865,11.862909546477944,27.15301654213531,39.37277056108227,-0.010222467389325,55.63836123634028,225.0,100.0,33.0343877223795,89.9092202892095,29.0029742967795,52.205353711798,23.202379426221075,116.01189713110524,63.3134928500165,136.3139791192465,237.82438911596526
2045-01-01 04:15:00,0.0,11.948,-0.015734,5.865,11.862909546477944,27.15301654213531,39.37277056108227,-0.010222467389325,55.63836123634028,225.0,100.0,33.0343877223795,89.9092202892095,29.0029742967795,52.205353711798,23.202379426221075,116.01189713110524,63.3134928500165,136.3139791192465,237.82438911596526
2045-01-01 04:30:00,0.0,11.948,-0.015734,5.865,11.862909546477944,27.15301654213531,39.37277056108227,-0.010222467389325,55.63836123634028,225.0,100.0,33.0343877223795,89.9092202892095,29.0029742967795,52.205353711798,23.202379426221075,116.01189713110524,63.3134928500165,136.3139791192465,237.82438911596526
2045-01-01 04:45:00,0.0,11.948,-0.015734,5.865,11.862909546477944,27.15301654213531,39.37277056108227,-0.010222467389325,55.63836123634028,225.0,100.0,33.0343877223795,89.9092202892095,29.0029742967795,52.205353711798,23.202379426221075,116.01189713110524,63.3134928500165,136.3139791192465,237.82438911596526
