datetime,plant_name,day_ahead_position_MWh_el,day_ahead_sell_MWh_el,day_ahead_price_EUR_per_MWh_el,additional_electricity_charge_EUR_per_MWh_el,day_ahead_delivered_price_EUR_per_MWh_el,intraday_buy_MWh_el,intraday_sell_da_MWh_el,intraday_sell_future_MWh_el,intraday_resell_idc_MWh_el,intraday_resell_da_MWh_el,intraday_resell_future_MWh_el,future_positions_MWh_el,intraday_price_EUR_per_MWh_el,intraday_delivered_price_EUR_per_MWh_el,scheduled_electricity_procurement_MWh_el,afrr_energy_bid_MW_el,afrr_energy_bid_MWh_el,afrr_energy_activated_MWh_el,afrr_energy_price_EUR_per_MWh_el,afrr_energy_delivered_price_EUR_per_MWh_el,afrr_energy_bid_price_EUR_per_MWh_el,afrr_energy_market_spread_EUR_per_MWh_el,afrr_energy_net_spread_EUR_per_MWh_el,afrr_energy_pay_as_cleared_reward_EUR,afrr_energy_net_value_after_charges_EUR,afrr_energy_capacity_backed_bid_MWh_el,afrr_energy_free_bid_MWh_el,afrr_energy_capacity_backed_activated_MWh_el,afrr_energy_free_activated_MWh_el,afrr_system_activation_MWh_el,useful_heat_cap_binding,curtailed_proxy_activation_due_to_heat_cap_MWh,afrr_capacity_block_id,afrr_capacity_block_duration_h,afrr_capacity_down_price_EUR_per_MW_h,afrr_capacity_reserved_MW,afrr_capacity_reserved_MWh,afrr_capacity_revenue_EUR,reserved_capacity_headroom_MWh,available_charge_headroom_after_schedule_MWh,available_storage_headroom_after_schedule_MWh,actual_electricity_consumption_MWh_el,gas_heat_output_MWh_th,etes_charge_MWh_el,etes_discharge_MWh_th,etes_thermal_inventory_MWh_th
2025-01-01 00:00:00+01:00,plant_1,1.6894736842105265,0.0,2.16,58.63,60.790000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.52,103.15,1.6894736842105265,0.0,0.0,0.0,0.0,58.63,55.88235294117647,55.88235294117647,-2.7476470588235316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.3105263157894735,84.21052631578948,1.6894736842105265,0.0,1.6894736842105265,1.605,0.0
2025-01-01 00:15:00+01:00,plant_1,1.6894736842105265,0.0,2.16,58.63,60.790000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.25,120.88,1.6894736842105265,0.0,0.0,0.0,0.0,58.63,55.88235294117647,55.88235294117647,-2.7476470588235316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.3105263157894735,84.21052631578948,1.6894736842105265,0.0,1.6894736842105265,1.605,0.0
2025-01-01 00:30:00+01:00,plant_1,1.6894736842105265,0.0,2.16,58.63,60.790000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.93,95.56,1.6894736842105265,0.0,0.0,0.0,0.0,58.63,55.88235294117647,55.88235294117647,-2.7476470588235316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.3105263157894735,84.21052631578948,1.6894736842105265,0.0,1.6894736842105265,1.605,0.0
2025-01-01 00:45:00+01:00,plant_1,1.6894736842105265,0.0,2.16,58.63,60.790000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.19,87.82000000000001,1.6894736842105265,0.0,0.0,0.0,0.0,58.63,55.88235294117647,55.88235294117647,-2.7476470588235316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.3105263157894735,84.21052631578948,1.6894736842105265,0.0,1.6894736842105265,1.605,0.0
2025-01-01 01:00:00+01:00,plant_1,1.6894736842105265,0.0,1.6,58.63,60.230000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.95,95.58000000000001,1.6894736842105265,0.0,0.0,0.0,0.0,58.63,55.88235294117647,55.88235294117647,-2.7476470588235316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.3105263157894735,84.21052631578948,1.6894736842105265,0.0,1.6894736842105265,1.605,0.0
2025-01-01 01:15:00+01:00,plant_1,1.6894736842105265,0.0,1.6,58.63,60.230000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.98,69.61,2.5284736842105264,0.0,0.0,0.839,-8.98,49.650000000000006,55.88235294117647,64.86235294117647,6.232352941176465,54.419514117647054,5.228944117647054,0.0,0.0,0.0,0.0,0.839,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.4715263157894736,83.37152631578948,2.5284736842105264,0.0,2.5284736842105264,1.605,0.79705
2025-01-01 01:30:00+01:00,plant_1,1.6894736842105265,0.0,1.6,58.63,60.230000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49,62.120000000000005,1.8514736842105264,0.0,0.0,0.162,9.77,68.4,55.88235294117647,46.11235294117647,-12.517647058823535,7.470201176470588,-2.027858823529413,0.0,0.0,0.0,0.0,0.162,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.1485263157894736,83.20973606578947,1.8514736842105264,0.0,1.8514736842105264,1.605,0.9507507374999999
2025-01-01 01:45:00+01:00,plant_1,1.6894736842105265,0.0,1.6,58.63,60.230000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,59.38,4.0,0.0,0.0,2.3105263157894735,-9.2,49.43000000000001,55.88235294117647,65.08235294117647,6.452352941176464,150.37448916408667,14.90833126934983,0.0,0.0,0.0,0.0,2.452,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.8994599475625,4.0,0.0,4.0,1.605,3.1455130498156247
2025-01-01 02:00:00+01:00,plant_1,4.0,0.0,0.0,58.63,58.63,0.0,2.3105263157894735,0.0,0.0,1.6894736842105265,0.0,0.0,47.98,106.61,0.37,0.0,0.0,0.37,-3.82,54.81,55.88235294117647,59.70235294117647,1.0723529411764687,22.089870588235293,0.39677058823529343,0.0,0.0,0.0,0.0,0.37,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.63,82.2197613983651,0.3700000000000001,0.0,0.3700000000000001,1.605,1.891226671553171
2025-01-01 02:15:00+01:00,plant_1,4.0,0.0,0.0,58.63,58.63,0.0,2.3105263157894735,0.0,0.0,1.6894736842105265,0.0,0.0,25.35,83.98,0.0,0.0,0.0,0.0,28.54,87.17,55.88235294117647,27.342352941176472,-31.28764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,83.90973277380498,0.0,0.0,0.0,1.605,0.28575386488528265
2025-01-01 02:30:00+01:00,plant_1,4.0,0.0,0.0,58.63,58.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.09,68.72,4.0,0.0,0.0,0.0,42.55,101.18,55.88235294117647,13.332352941176474,-45.297647058823536,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.59928165640099,4.0,0.0,4.0,1.605,2.4806824264190612
2025-01-01 02:45:00+01:00,plant_1,4.0,0.0,0.0,58.63,58.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.58,67.21000000000001,4.0,0.0,0.0,0.0,-7.02,51.61,55.88235294117647,62.902352941176474,4.272352941176472,0.0,0.0,0.0,0.0,0.0,0.0,17.607,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.28940815177636,4.0,0.0,4.0,1.605,4.675062255812456
2025-01-01 03:00:00+01:00,plant_1,4.0,0.0,-0.01,58.63,58.620000000000005,0.0,4.0,0.0,0.0,0.0,0.0,0.0,25.61,84.24000000000001,0.0,0.0,0.0,0.0,18.18,76.81,55.88235294117647,37.70235294117647,-20.92764705882353,0.0,0.0,0.0,0.0,0.0,0.0,4.897,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,80.9801121155279,0.0,0.0,0.0,1.605,3.0688934902485028
